VR,Price,개인_level,외국인_level,금융투자_level,연기금_level,Cap_Type,Signal_Count,Monthly_Signals,Avg_Return_10D,Median_Return_10D,Std_Return_10D,Win_Rate_10D,Sharpe_Ratio,Max_Gain,Max_Loss,Yearly_Return_Std,Yearly_Count,Avg_개인_비중,Avg_외국인_비중,Avg_금융투자_비중,Avg_연기금_비중,Avg_Inst_Ratio,Expectancy
3.0,5,-1,-1,-1,-1,All,6,1.0,2.2944546208473793,3.6361727543831277,9.891880812320345,66.66666666666666,0.2319533225662843,16.720516962843295,-12.114014251781471,9.672939675438016,2,-11.000980182061872,-8.117358766798,-3.4029319413967634,-2.842664219140063,-6.245596160536825,2.2944546208473766
3.0,5,-1,-1,-1,0,All,25,1.25,2.9439154700297827,0.3246753246753247,17.841675271211564,52.0,0.16500218871150163,62.08393632416788,-16.849015317286653,8.51509021110315,3,-4.562041481395138,-2.2762177772781262,-0.8704549134969884,0.44782827937848024,-0.42262663411850815,2.9439154700297836
3.0,5,-1,-1,-1,1,All,6,1.0,10.399012397513696,5.57373986042005,16.95112695030405,66.66666666666666,0.6134702682600799,40.79601990049751,-5.413385826771654,14.105994943940436,3,-4.963023724206224,-3.2492127806921016,-0.3114859492782865,2.6679168331453837,2.3564308838670973,10.399012397513692
3.0,5,-1,-1,-1,3,All,15,1.3636363636363635,1.4862005527825304,-0.5696876108595397,12.852558398806687,46.666666666666664,0.11563460804196919,33.726812816188875,-14.668367346938776,6.293332113829857,3,-55.16015545805069,-59.18044989843103,-25.639894579864848,35.757485197183584,10.117590617318736,1.4862005527825288
3.0,5,-1,-1,0,-1,All,13,1.8571428571428572,-6.399471235900164,-2.881466928618205,14.315429056395091,23.076923076923077,-0.4470331424010897,21.243523316062177,-37.27598566308244,8.80785349369253,3,-3.243767890106435,-2.097917516623023,0.41807569679131823,-0.7971555668558221,-0.37907987006450367,-6.399471235900164
3.0,5,-1,-1,0,0,All,36,1.565217391304348,-0.9872268158107684,-2.7477246794785404,14.6165104239149,38.88888888888889,-0.06754189523892863,47.64868603042876,-24.842105263157897,4.429280599148892,3,-3.317939460063588,-1.7658801557985349,0.5178827354832676,0.3812828495738298,0.8991655850570975,-0.987226815810768
3.0,5,-1,-1,0,1,All,14,1.2727272727272727,-1.4814850512277253,0.016143069095794355,11.189987709891058,50.0,-0.1323938050368197,21.158129175946545,-20.046082949308754,5.735739305161282,3,-6.989691018042431,-3.052863014172569,0.6225452032024812,2.226603831180078,2.849149034382559,-1.4814850512277253
3.0,5,-1,-1,0,2,All,5,1.6666666666666667,1.672023634801598,5.6722689075630255,14.365173430664598,60.0,0.11639425328707936,15.873150195161683,-20.03196590303676,10.725261208415034,2,-8.558257182031827,-2.8123149913519105,0.21451689509625393,4.6692713877902055,4.88378828288646,1.6720236348015964
3.0,5,-1,-1,0,3,All,7,1.0,6.586864958066138,4.653701808256567,9.590199123608569,71.42857142857143,0.6868329711581269,17.682926829268293,-8.035714285714286,8.000298055408786,3,-19.943962009912966,-6.035812087345414,0.7307793691861358,13.379929949957212,14.110709319143348,6.586864958066138
3.0,5,-1,-1,1,0,All,6,1.0,11.861969620446034,6.293065220357484,17.948664018142775,83.33333333333334,0.6608831503256053,37.98677443056576,-10.147058823529411,8.067295551067867,2,-3.8447761688512068,-5.912665282166071,2.098782633943941,0.4722627487798612,2.5710453827238022,11.86196962044604
