filter_key,filter_name,signal_count,monthly_signals,avg_return_1d,median_return_1d,win_rate_1d,max_return_1d,mdd_1d,profit_factor_1d,avg_return_3d,median_return_3d,win_rate_3d,max_return_3d,mdd_3d,profit_factor_3d,avg_return_5d,median_return_5d,win_rate_5d,max_return_5d,mdd_5d,profit_factor_5d,avg_return_10d,median_return_10d,win_rate_10d,max_return_10d,mdd_10d,profit_factor_10d,alpha_1d,alpha_pct_1d,alpha_3d,alpha_pct_3d,alpha_5d,alpha_pct_5d,alpha_10d,alpha_pct_10d
A0_Baseline,베이스라인 (수급 필터 없음),373,11.66,0.8718,0.1919,52.55,29.98,-29.9,1.196,1.0548,-0.3175,48.79,59.0,-31.99,1.352,1.8931,0.1,50.4,76.83,-37.07,1.409,2.5804,-1.2242,45.8,203.6,-38.29,1.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_FinancialInvestment,금융투자 순매수,184,5.94,1.5277,0.1548,52.17,29.98,-29.9,1.514,1.6407,0.1686,51.91,47.35,-31.99,1.38,2.9306,0.638,51.91,76.83,-37.07,1.569,2.4897,-1.2403,45.9,88.77,-37.28,1.668,0.6559,75.2,0.5859000000000001,55.5,1.0375,54.8,-0.0907,-3.5
A2_Pension,연기금 순매수,186,6.2,0.5084,0.1559,51.08,29.98,-17.0,1.119,0.3853,-0.9913,45.41,34.77,-25.72,1.321,2.1945,0.939,55.14,56.29,-27.05,1.285,2.2671,-1.165,45.41,203.6,-35.77,1.677,-0.36340000000000006,-41.7,-0.6695,-63.5,0.3014000000000001,15.9,-0.3132999999999999,-12.1
A3_IndividualSell,개인 순매도 (개미 털기),234,7.55,0.9838,0.1624,52.99,29.96,-15.3,1.311,0.9656,-0.2439,48.93,47.35,-25.72,1.349,2.0473,0.1,50.21,56.29,-27.05,1.491,2.0813,-1.3853,44.59,68.27,-37.28,1.699,0.11199999999999999,12.8,-0.08919999999999995,-8.5,0.1541999999999999,8.1,-0.4990999999999999,-19.3
