Investor,Duration,Direction,Peak_Threshold,Peak_Return,Peak_WinRate,Peak_Signals
금융투자,10,SELL,-1.7763568394002505e-14,2.9789427903098606,45.38369304556355,1668
금융투자,10,BUY,0.09999999999998188,2.289653115900928,45.04836480884385,2171
연기금,30,SELL,-1.7763568394002505e-14,3.0029129304405004,44.85791610284168,1478
연기금,30,BUY,0.09999999999998188,2.0524606889439174,45.605700712589076,2105
