Code,Name,Market,Grade,Badges,VR,Change,Vol_ZScore,ATR_Ratio,개인_1D,개인_3D,외국인_1D,외국인_3D,금융투자_1D,금융투자_3D,연기금_1D,연기금_3D,Expected_Return,Expected_WinRate,News_Link,DART_Link,Chart_Link
080220,제주반도체,KOSPI,A,🔥ATR ⚡Z-VOL,12.89826321564661,20.319634703196346,4.184242176897948,4.922566371681416,-314.15889775,-352.12648275,266.055726,269.79136795,10.05664475,12.698436299999997,9.80808825,18.575390250000005,8.48,56.2,https://finance.naver.com/item/news.naver?code=080220,https://dart.fss.or.kr/dsab001/search.ax?textCrpNM=080220,https://finance.naver.com/item/main.naver?code=080220
122870,와이지엔터테인먼트,KOSPI,A,🔥ATR ⚡Z-VOL,3.113083504727045,6.933744221879815,3.273567001266762,2.197802197802198,-119.0464945,-83.42715949999992,-4.2113965,-12.987079500000029,-5.493911,-7.952238499999972,53.307934,48.796317500000015,8.48,56.2,https://finance.naver.com/item/news.naver?code=122870,https://dart.fss.or.kr/dsab001/search.ax?textCrpNM=122870,https://finance.naver.com/item/main.naver?code=122870
131970,두산테스나,KOSPI,A,🔥ATR ⚡Z-VOL,4.038995600866763,6.506506506506507,3.1909725980756294,1.5662650602409638,-84.3684825,-163.1323775,75.4511355,114.31837400000002,-1.573959,9.646403500000009,-17.2762275,-33.42725650000003,8.48,56.2,https://finance.naver.com/item/news.naver?code=131970,https://dart.fss.or.kr/dsab001/search.ax?textCrpNM=131970,https://finance.naver.com/item/main.naver?code=131970
