Market,Investor,Duration,Direction,Threshold,Signal_Count,Avg_Flow,Median_Flow,Avg_Return_10D,Median_Return_10D,Std_Return_10D,Win_Rate_10D,Max_Gain_10D,Max_Loss_10D,Avg_Return_20D,Median_Return_20D,Std_Return_20D,Win_Rate_20D,Max_Gain_20D,Max_Loss_20D
KOSPI200,개인,1,BUY,1.5,111042,6421189748.842794,1373732280.0,0.8036657710598989,0.1108647450110966,8.415792234528068,50.17110642819834,218.3034142907427,-45.339216767788194,1.5597230362750165,0.1872665743192336,12.164091148738839,50.55542446408799,164.3561539920349,-50.24820739106454
KOSPI200,개인,1,SELL,1.5,113350,-6226880694.663793,-1449640500.0,0.6519954271896625,-0.06763835325657161,8.530035548563236,48.8354653727393,148.33874594054458,-46.7,1.3710354043435853,-0.10828373504430105,12.490550151029941,49.096541042849765,245.97800095648017,-53.400000000000006
KOSPI200,외국인,1,BUY,1.5,109444,5634559019.558876,1343192700.0,0.7076998668216781,0.0,8.506686599778753,49.0817221592778,148.33874594054458,-37.16216216216216,1.514717418713816,0.0,12.498824775549535,49.62205711546616,245.97800095648017,-51.14882753403933
KOSPI200,외국인,1,SELL,1.5,114943,-5527707944.225432,-1246906310.0,0.7455378364205225,0.0,8.44295645622373,49.89168544408968,218.3034142907427,-46.7,1.4167728262297217,0.0544365813826885,12.167967840707462,50.00745319829891,164.3561539920349,-53.400000000000006
KOSPI200,금융투자,1,BUY,1.5,119062,2103677215.6470447,460908450.0,0.6741023604216783,0.0,8.481301240185912,49.015638910819575,218.3034142907427,-46.7,1.4193362710854203,0.0,12.324093957775503,49.33682284785039,245.97800095648017,-53.400000000000006
KOSPI200,금융투자,1,SELL,1.5,104978,-1986338458.7191648,-414286755.0,0.7882882774709338,0.08031784640261105,8.46420412887434,50.0438187048715,142.97686599738103,-45.339216767788194,1.5161116116504576,0.1557632398753838,12.321713701943446,50.362110035346554,204.54545454545453,-51.14882753403933
KOSPI200,연기금,1,BUY,1.5,104982,1606358774.9282908,537951650.0,0.7346188951104586,0.0,8.652113577537486,49.597073784077274,218.3034142907427,-43.692365746090886,1.3299008092378555,0.0,12.511557949413582,49.26941735914309,204.54545454545453,-51.14882753403933
KOSPI200,연기금,1,SELL,1.5,111108,-1785912700.8880923,-562418500.0,0.637379591530495,0.0,8.189537991700607,49.056773589660516,148.33874594054458,-46.7,1.4216089838492323,0.0,11.931929365980912,49.83982067175489,245.97800095648017,-53.400000000000006
KOSPI200,개인,3,BUY,1.5,108119,14151916054.035141,3070385700.0,0.7949197754577702,0.1165501165501181,8.34263499640905,50.215965741451555,141.4174972314507,-46.7,1.575816659349605,0.2267573696145053,12.103904761030524,50.760844243581985,161.05845181674567,-53.400000000000006
KOSPI200,개인,3,SELL,1.5,115901,-13056687287.510403,-3318307340.0,0.6578242676557235,-0.0848176420695456,8.59224697184465,48.79422955798483,218.3034142907427,-43.692365746090886,1.3510583804486098,-0.1412429378531032,12.52680220419709,48.92420218555444,245.97800095648017,-48.3561087809498
KOSPI200,외국인,3,BUY,1.5,111191,12037890021.288616,3025062300.0,0.7335819680258461,0.0,8.583383077215279,49.182038114595606,218.3034142907427,-38.40422044052338,1.5270947328305222,0.0,12.518617866028569,49.53907851997024,245.97800095648017,-48.3561087809498
KOSPI200,외국인,3,SELL,1.5,112829,-12334732581.415323,-2790712650.0,0.714538895510222,0.0,8.362726338663144,49.77443742300295,127.11864406779662,-46.7,1.393206060212426,0.09804784936877635,12.130678694565326,50.07950261733336,203.6303630363036,-53.400000000000006
KOSPI200,금융투자,3,BUY,1.5,120285,4370678683.09677,999785405.0,0.6614170776856476,0.0,8.487892901564022,48.96869933906971,218.3034142907427,-46.7,1.3435881547351827,-0.0991080277502498,12.277066427705725,49.12096672680737,245.97800095648017,-53.400000000000006
KOSPI200,금융투자,3,SELL,1.5,103501,-3846464411.3805804,-861234575.0,0.798575742102802,0.0956937799043045,8.45345351783679,50.07970937478865,141.4174972314507,-41.72642633152637,1.6001748026476768,0.2073170731707208,12.37409654986231,50.62329093722327,204.54545454545453,-46.57364416462065
KOSPI200,연기금,3,BUY,1.5,106693,3748891985.414307,1383653480.0,0.7238732549723904,0.0,8.757092619643844,49.43810746721903,218.3034142907427,-43.692365746090886,1.3380212137394083,-0.1140628074502214,12.706012034257945,49.09025605156948,245.97800095648017,-51.14882753403933
KOSPI200,연기금,3,SELL,1.5,114135,-4292624935.759776,-1434088250.0,0.6884701526658747,0.0,8.148943975465858,49.366101546414335,141.4174972314507,-46.7,1.488063797868357,0.1358695652173835,11.839118794120854,50.246044296808044,164.3561539920349,-53.400000000000006
KOSPI200,개인,5,BUY,1.5,106985,20889834933.808228,4536695200.0,0.7831928227454418,0.1095290251916791,8.340751848769356,50.16310697761368,141.4174972314507,-46.7,1.567332740214422,0.2317497103128563,12.139319265521324,50.757226358442445,164.3561539920349,-53.400000000000006
KOSPI200,개인,5,SELL,1.5,116663,-18901624583.016953,-4970493400.0,0.6578878260752977,-0.0892060660124927,8.580924870141086,48.817534265362625,218.3034142907427,-36.40350877192983,1.349384585755627,-0.1403508771929851,12.471760798294996,48.9376433424207,245.97800095648017,-51.14882753403933
KOSPI200,외국인,5,BUY,1.5,111656,17468361700.654587,4445574500.0,0.7284268390592122,0.0,8.563894051635371,49.14559002650999,218.3034142907427,-36.40350877192983,1.5166277914457944,0.0,12.501708219861932,49.52121989557173,245.97800095648017,-51.14882753403933
