Year,Date,Code,Name,Strategy,Priority,VR,Change,Quality_Score,Expected_Return,Expected_WinRate,Return,Win
2023,2023-07-25,000880,한화,A-Base-Premium,3,3.835062441596501,7.395498392282958,9,10.0,52.0,-26.19760479041916,False
2024,2024-01-29,000880,한화,A-Base-Premium,3,4.504617094055451,7.352941176470589,10,10.0,52.0,15.264187866927603,True
2024,2024-02-01,000880,한화,A-Base-Premium,3,7.2150027364878255,11.940298507462686,12,10.0,52.0,-2.0000000000000018,False
2024,2024-04-03,000880,한화,S-Tactical,1,7.585940207883699,7.102803738317758,11,31.4,60.0,-5.933682373472948,False
2025,2025-02-12,000880,한화,A-Base-Premium,3,8.466006138381362,14.242424242424242,12,10.0,52.0,21.087533156498672,True
2025,2025-02-13,000880,한화,A-Base-Premium,3,7.5080975406437025,12.250332889480692,12,10.0,52.0,9.2526690391459,True
2025,2025-05-27,000880,한화,A-Base-Premium,3,4.029069639846225,15.947467166979362,11,10.0,52.0,45.46925566343043,True
2025,2025-05-28,000880,한화,Pension-SELL,2,4.925423505772433,8.870967741935484,10,11.23,53.0,39.85185185185185,True
2025,2025-06-04,000880,한화,S-Tactical,1,4.329466271695811,16.169154228855724,11,31.4,60.0,-2.997858672376874,False
2025,2025-09-15,000880,한화,Pension-SELL,2,3.97396388344278,6.651376146788992,8,11.23,53.0,-4.516129032258065,False
2025,2025-10-27,000880,한화,A-Base-Premium,3,3.9664017034974446,9.723643807574208,9,10.0,52.0,-26.58582089552238,False
2021,2021-04-19,000990,DB하이텍,Pension-SELL,2,3.052052661849685,5.656934306569343,8,11.23,53.0,-9.32642487046632,False
2021,2021-11-19,000990,DB하이텍,Pension-SELL,2,3.835706668469602,5.079825834542816,8,11.23,53.0,-3.5911602209944715,False
2021,2021-11-22,000990,DB하이텍,Pension-SELL,2,3.552598562411972,5.801104972375691,8,11.23,53.0,-9.921671018276768,False
2022,2022-11-15,000990,DB하이텍,Pension-SELL,2,3.0437415418549176,5.9459459459459465,8,11.23,53.0,-15.102040816326534,False
2023,2023-02-16,000990,DB하이텍,A-Base-Premium,3,3.816579143871478,8.553326293558607,9,10.0,52.0,-6.0311284046692615,False
2023,2023-03-08,000990,DB하이텍,A-Base-Premium,3,8.375809864814926,18.040089086859687,12,10.0,52.0,40.37735849056603,True
2023,2023-03-24,000990,DB하이텍,Pension-SELL,2,4.378483978591401,17.916666666666668,11,11.23,53.0,15.371024734982331,True
2023,2023-11-27,000990,DB하이텍,A-Base-Premium,3,3.875693251571994,6.571936056838366,8,10.0,52.0,-0.1666666666666705,False
2023,2023-11-30,000990,DB하이텍,A-Base-Premium,3,3.0373762796000743,7.279029462738301,9,10.0,52.0,-11.47011308562197,False
2024,2024-06-20,000990,DB하이텍,A-Base-Premium,3,11.764615667566687,17.008196721311474,12,10.0,52.0,-5.604203152364273,False
2025,2025-02-07,000990,DB하이텍,A-Base-Premium,3,7.948688860541458,15.773809523809524,12,10.0,52.0,16.709511568123393,True
2025,2025-02-10,000990,DB하이텍,A-Base-Premium,3,5.801642137036304,7.29559748427673,11,10.0,52.0,3.165298944900341,True
2025,2025-06-02,000990,DB하이텍,Pension-SELL,2,6.115236384614927,6.148055207026349,10,11.23,53.0,7.919621749408989,True
2025,2025-09-10,000990,DB하이텍,A-Base-Premium,3,5.630455730809922,8.620689655172415,11,10.0,52.0,16.666666666666675,True
2025,2025-09-16,000990,DB하이텍,A-Base-Premium,3,4.594173341308391,6.5420560747663545,9,10.0,52.0,-0.3508771929824572,False
2025,2025-11-10,000990,DB하이텍,A-Base-Premium,3,5.15731585080191,11.151079136690647,12,10.0,52.0,6.957928802588986,True
2025,2025-11-11,000990,DB하이텍,A-Base-Premium,3,6.303142634148381,11.272141706924316,12,10.0,52.0,-6.078147612156293,False
2023,2023-08-10,001040,CJ,A-Base-Premium,3,3.9308912607625097,12.0,10,10.0,52.0,6.3775510204081565,True
2024,2024-02-01,001040,CJ,Pension-SELL,2,4.095139208767799,7.454739084132056,10,11.23,53.0,-4.261645193260655,False
2024,2024-03-15,001040,CJ,Pension-SELL,2,4.73825826486782,13.160621761658032,11,11.23,53.0,7.051282051282048,True
2024,2024-12-17,001040,CJ,S-Tactical,1,4.279622449309678,6.327900287631831,9,31.4,60.0,-11.54192966636609,False
2025,2025-03-14,001040,CJ,S-Tactical,1,5.5211525714371845,18.773234200743495,12,31.4,60.0,-9.233176838810644,False
2021,2021-05-06,001430,세아베스틸지주,A-Base-Premium,3,4.665297861779637,15.187376725838265,11,10.0,52.0,12.842465753424648,True
2021,2021-05-11,001430,세아베스틸지주,Pension-SELL,2,3.873475898877817,12.993421052631579,10,11.23,53.0,-11.208151382823871,False
2021,2021-06-24,001430,세아베스틸지주,A-Base-Premium,3,3.30845989126332,9.554140127388536,9,10.0,52.0,-12.936046511627907,False
2022,2022-08-29,001430,세아베스틸지주,Pension-SELL,2,10.353653220363784,8.498583569405099,11,11.23,53.0,-10.44386422976501,False
2022,2022-10-14,001430,세아베스틸지주,A-Base-Premium,3,4.688969168171393,9.064327485380117,8,10.0,52.0,1.608579088471851,True
2023,2023-02-17,001430,세아베스틸지주,A-Base-Premium,3,5.822863379063178,9.86682808716707,11,10.0,52.0,21.763085399449047,True
2023,2023-07-12,001430,세아베스틸지주,A-Base-Premium,3,4.064084757259601,7.706422018348624,10,10.0,52.0,-15.843270868824533,False
2024,2024-05-14,001430,세아베스틸지주,A-Base-Premium,3,3.8335367678804046,6.950672645739911,8,10.0,52.0,-11.74004192872118,False
2024,2024-11-07,001430,세아베스틸지주,A-Base-Premium,3,13.427676812324645,7.517084282460136,11,10.0,52.0,-15.042372881355936,False
2025,2025-05-30,001430,세아베스틸지주,A-Base-Premium,3,3.837250207338836,5.643340857787811,8,10.0,52.0,31.41025641025641,True
2025,2025-06-25,001430,세아베스틸지주,A-Base-Premium,3,3.531876747435851,11.07011070110701,10,10.0,52.0,13.787375415282389,True
2025,2025-12-08,001430,세아베스틸지주,A-Base-Premium,3,3.7943612617403377,11.743772241992882,10,10.0,52.0,,False
2025,2025-12-10,001430,세아베스틸지주,A-Base-Premium,3,5.471848189651365,12.741935483870966,12,10.0,52.0,,False
2025,2025-12-12,001430,세아베스틸지주,Pension-SELL,2,7.7479743176771825,13.005050505050505,12,11.23,53.0,,False
2025,2025-12-22,001430,세아베스틸지주,S-Tactical,1,4.219913145525175,11.279826464208242,10,31.4,60.0,,False
2021,2021-03-29,001440,대한전선,Pension-SELL,2,4.488641299059945,6.652447694495227,9,11.23,53.0,-2.5140462813065367,False
2021,2021-05-26,001440,대한전선,S-Tactical,1,4.418047993173482,6.743863654896844,8,31.4,60.0,111.6577540106952,True
2021,2021-05-28,001440,대한전선,Pension-SELL,2,3.155164955043275,10.932500380923358,10,11.23,53.0,86.09298811894787,True
2021,2021-05-31,001440,대한전선,S-Tactical,1,6.216753610227581,17.044925124792012,12,31.4,60.0,49.43705220061412,True
2021,2021-06-03,001440,대한전선,A-Base-Premium,3,4.453051575193802,14.56819153484395,11,10.0,52.0,22.16158223714899,True
2021,2021-06-04,001440,대한전선,A-Base-Premium,3,4.162729617802926,23.85084323410315,11,10.0,52.0,-4.961736068695433,False
2021,2021-11-15,001440,대한전선,A-Base-Premium,3,4.457829919669115,9.647672348003052,9,10.0,52.0,-3.474276434081547,False
2022,2022-03-31,001440,대한전선,A-Base-Premium,3,11.354013194775048,28.478593272171253,12,10.0,52.0,-3.784587920261828,False
2022,2022-05-06,001440,대한전선,A-Base-Premium,3,8.413910400579654,13.334838818946537,12,10.0,52.0,-0.9016189290161902,False
2022,2022-08-29,001440,대한전선,A-Base-Premium,3,6.035530204562875,7.2427837789976985,11,10.0,52.0,-27.003522677234702,False
2022,2022-10-27,001440,대한전선,Pension-SELL,2,5.178970482354366,6.973532796317607,9,11.23,53.0,11.725473321858871,True
2022,2022-11-01,001440,대한전선,A-Base-Premium,3,7.408050351052467,13.910761154855644,12,10.0,52.0,-1.452892985151044,False
2023,2023-04-12,001440,대한전선,A-Base-Premium,3,7.629455274009996,7.161619283065512,11,10.0,52.0,-5.500684882128182,False
2023,2023-04-14,001440,대한전선,A-Base-Premium,3,7.621010360144401,6.070624648283625,10,10.0,52.0,-14.03276079315604,False
2024,2024-01-24,001440,대한전선,A-Base-Premium,3,10.869512482885574,7.044560943643513,11,10.0,52.0,-5.519844913784311,False
2024,2024-03-14,001440,대한전선,Pension-SELL,2,10.67818688324208,10.204081632653061,12,11.23,53.0,29.922027290448348,True
2024,2024-05-13,001440,대한전선,A-Base-Premium,3,5.526904636470005,20.733333333333334,12,10.0,52.0,-13.031474323578127,False
2024,2024-10-04,001440,대한전선,Pension-SELL,2,7.244554142735653,7.530364372469636,11,11.23,53.0,-10.768072289156628,False
2025,2025-06-09,001440,대한전선,A-Base-Premium,3,7.26752633269436,7.8431372549019605,11,10.0,52.0,0.8441558441558472,True
2025,2025-10-13,001440,대한전선,A-Base-Premium,3,7.902816622307246,13.587977457733249,12,10.0,52.0,37.54134509371554,True
2025,2025-10-31,001440,대한전선,A-Base-Premium,3,3.651032949199503,10.755148741418765,10,10.0,52.0,-8.264462809917351,False
2023,2023-02-23,001450,현대해상,Pension-SELL,2,3.4267914274351283,5.78125,8,11.23,53.0,-2.215657311669128,False
2024,2024-05-14,001450,현대해상,A-Base-Premium,3,5.48336198249989,9.44,11,10.0,52.0,-5.409356725146197,False
2025,2025-03-12,001450,현대해상,A-Base-Premium,3,3.1161996984794818,10.986547085201794,10,10.0,52.0,-19.35353535353536,False
2025,2025-08-14,001450,현대해상,A-Base-Premium,3,3.0520994843902822,5.904761904761905,8,10.0,52.0,0.3597122302158251,True
2025,2025-02-17,001720,신영증권,Pension-SELL,2,6.8678409939167215,5.4945054945054945,10,11.23,53.0,-6.944444444444442,False
2025,2025-05-02,001720,신영증권,A-Base-Premium,3,4.120364317775745,6.159014557670773,9,10.0,52.0,24.26160337552743,True
2025,2025-05-12,001720,신영증권,A-Base-Premium,3,5.106562368260809,8.493427704752275,11,10.0,52.0,17.427772600186398,True
2025,2025-07-08,001720,신영증권,A-Base-Premium,3,4.525214908148846,20.03381234150465,11,10.0,52.0,-9.999999999999998,False
2025,2025-07-09,001720,신영증권,Pension-SELL,2,5.771445529490608,7.009646302250803,9,11.23,53.0,-22.536057692307686,False
