Filter,Period,IS_Signals,IS_Return,IS_WinRate,OOS_Signals,OOS_Return,OOS_WinRate
Rough Signal Only,10D,3121,1.4798116028368764,46.36334508170458,1155,5.064324560558758,53.160173160173166
Rough Signal Only,20D,3121,2.2128658987077654,44.633130406920856,1087,8.932835764419742,55.65777368905243
연기금 30D SELL,10D,649,2.4581182634003578,47.303543913713405,219,5.125186540112261,52.054794520547944
연기금 30D SELL,20D,649,4.000292402410712,44.53004622496148,212,9.879197368856426,56.132075471698116
금융투자 10D SELL,10D,870,1.8179279246885596,45.40229885057471,327,5.758263138176151,54.74006116207951
금융투자 10D SELL,20D,870,2.8473292051005923,42.87356321839081,319,10.77414066987078,55.172413793103445
개인 30D BUY,10D,751,2.7009965416685486,48.06924101198402,245,5.876315751935237,49.795918367346935
개인 30D BUY,20D,751,3.404459639968889,47.003994673768304,237,8.20227948370972,48.9451476793249
