Date,Code,Year,Entry_Price,Return,Holding_Days,Exit_Reason
2024-01-16,006040,2024,35963,-3.0,1,STOP_LOSS_3%
2023-07-25,006260,2023,120100,-3.0,1,STOP_LOSS_3%
2024-07-10,006260,2024,156700,-3.0,2,STOP_LOSS_3%
2024-03-07,006400,2024,403361,10.558284018534266,10,MAX_DAYS
2023-08-01,006730,2023,8175,-3.0,1,STOP_LOSS_3%
2021-12-30,007340,2021,14381,-3.0,7,STOP_LOSS_3%
2022-11-09,007340,2022,13479,-3.0,2,STOP_LOSS_3%
2022-11-29,007340,2022,15082,-3.0,3,STOP_LOSS_3%
2021-05-11,7390,2021,12500,-3.0,1,STOP_LOSS_3%
2021-06-18,7390,2021,21500,38.139534883720934,10,MAX_DAYS
2021-06-22,7390,2021,27500,-3.0,1,STOP_LOSS_3%
2021-07-21,7390,2021,38450,-3.0,2,STOP_LOSS_3%
2022-02-03,7390,2022,18750,-3.0,1,STOP_LOSS_3%
2022-03-29,7390,2022,18500,-3.0,3,STOP_LOSS_3%
2022-07-14,7390,2022,21350,13.817330210772832,10,MAX_DAYS
2022-10-04,7390,2022,15000,-3.0,1,STOP_LOSS_3%
2023-03-31,7390,2023,18000,-3.0,5,STOP_LOSS_3%
2023-04-14,7390,2023,11970,-3.0,2,STOP_LOSS_3%
2023-07-05,7390,2023,9230,-3.0,1,STOP_LOSS_3%
2023-11-20,7390,2023,8200,-3.0,3,STOP_LOSS_3%
2024-03-27,7390,2024,10180,-3.0,1,STOP_LOSS_3%
2024-05-21,7390,2024,12300,-3.0,1,STOP_LOSS_3%
2024-07-26,7390,2024,12700,-3.0,1,STOP_LOSS_3%
2024-10-23,7390,2024,11310,88.7709991158267,10,MAX_DAYS
2024-10-24,7390,2024,13980,56.65236051502146,10,MAX_DAYS
2021-08-19,7660,2021,3468,-3.0,1,STOP_LOSS_3%
2021-11-05,7660,2021,4386,-3.0,2,STOP_LOSS_3%
2021-11-29,7660,2021,5057,-3.0,1,STOP_LOSS_3%
2021-12-23,7660,2021,5932,17.211732973701956,10,MAX_DAYS
2022-05-25,7660,2022,7867,-3.0,2,STOP_LOSS_3%
2023-02-24,7660,2023,9161,-3.0,1,STOP_LOSS_3%
2023-03-28,7660,2023,10318,-3.0,1,STOP_LOSS_3%
2023-06-09,7660,2023,17301,30.125426275937805,10,MAX_DAYS
2024-01-22,7660,2024,33065,-3.0,1,STOP_LOSS_3%
2024-03-04,7660,2024,35691,-3.0,7,STOP_LOSS_3%
2024-05-16,7660,2024,49404,-3.0,1,STOP_LOSS_3%
2024-12-03,7660,2024,26014,-3.0,1,STOP_LOSS_3%
2023-02-07,7810,2023,16200,-3.0,9,STOP_LOSS_3%
2023-07-14,7810,2023,20200,-3.0,3,STOP_LOSS_3%
2023-10-13,7810,2023,15860,-3.0,1,STOP_LOSS_3%
2023-12-13,7810,2023,19650,1.7302798982188294,10,MAX_DAYS
2024-02-13,7810,2024,19300,-3.0,1,STOP_LOSS_3%
2021-07-05,8930,2021,88701,-3.0,1,STOP_LOSS_3%
2023-08-09,8930,2023,41150,-3.0,1,STOP_LOSS_3%
2024-01-16,8930,2024,56200,-3.0,1,STOP_LOSS_3%
2024-10-24,8930,2024,39150,-3.0,2,STOP_LOSS_3%
2024-10-30,8930,2024,52100,-3.0,1,STOP_LOSS_3%
2023-09-11,9420,2023,27050,-3.0,2,STOP_LOSS_3%
2023-12-27,9420,2023,44300,-3.0,2,STOP_LOSS_3%
2024-07-12,9420,2024,37050,-3.0,4,STOP_LOSS_3%
2024-12-30,9420,2024,38650,-1.6817593790426906,10,MAX_DAYS
2021-02-22,9520,2021,7140,-3.0,1,STOP_LOSS_3%
2021-03-05,9520,2021,11300,-3.0,1,STOP_LOSS_3%
2021-05-12,9520,2021,11500,-3.0,1,STOP_LOSS_3%
2022-07-13,9520,2022,5950,-3.0,1,STOP_LOSS_3%
2022-10-13,9520,2022,7450,-3.0,5,STOP_LOSS_3%
2022-11-28,9520,2022,9230,-3.0,1,STOP_LOSS_3%
2022-11-29,9520,2022,10050,-3.0,3,STOP_LOSS_3%
2023-03-06,9520,2023,11550,-3.0,4,STOP_LOSS_3%
2023-03-16,9520,2023,12200,-3.0,1,STOP_LOSS_3%
2023-07-14,9520,2023,33100,-3.0,3,STOP_LOSS_3%
2023-09-05,9520,2023,34600,-3.0,1,STOP_LOSS_3%
2023-11-06,9520,2023,28300,-3.0,1,STOP_LOSS_3%
2023-12-27,9520,2023,29950,-3.0,2,STOP_LOSS_3%
2024-06-11,9520,2024,22550,-3.0,1,STOP_LOSS_3%
2024-09-02,9520,2024,19190,-3.0,2,STOP_LOSS_3%
2021-03-26,9540,2021,132000,-3.0,4,STOP_LOSS_3%
2022-07-28,9830,2022,52711,10.058621540095995,10,MAX_DAYS
2024-04-29,9830,2024,26300,-3.0,1,STOP_LOSS_3%
2024-09-24,9830,2024,26550,-3.0,1,STOP_LOSS_3%
2022-05-26,10060,2022,98140,5.6684328510291415,10,MAX_DAYS
2022-09-15,10060,2022,95756,-3.0,1,STOP_LOSS_3%
2023-07-25,10120,2023,115500,-3.0,1,STOP_LOSS_3%
2024-04-05,10120,2024,118600,-3.0,1,STOP_LOSS_3%
2023-07-25,10130,2023,538000,-3.0,1,STOP_LOSS_3%
2021-06-04,10140,2021,6636,-3.0,10,STOP_LOSS_3%
2024-03-14,10140,2024,9010,-3.0,3,STOP_LOSS_3%
2024-04-24,11070,2024,209000,11.961722488038278,10,MAX_DAYS
2024-09-27,11170,2024,101600,-3.0,3,STOP_LOSS_3%
2021-03-26,11200,2021,34150,-3.0,1,STOP_LOSS_3%
2022-03-04,11200,2022,35400,-3.0,1,STOP_LOSS_3%
2023-12-18,11200,2023,17540,-3.0,1,STOP_LOSS_3%
2023-12-19,11200,2023,18430,11.502984264785676,10,MAX_DAYS
2023-12-20,11200,2023,22100,-3.0,1,STOP_LOSS_3%
2023-04-11,11210,2023,64400,-3.0,5,STOP_LOSS_3%
2022-10-07,11780,2022,134500,-3.0,1,STOP_LOSS_3%
2024-04-04,11790,2024,130600,-3.0,6,STOP_LOSS_3%
2024-05-27,11790,2024,135600,22.640117994100294,10,MAX_DAYS
2024-06-10,11790,2024,169700,-3.0,1,STOP_LOSS_3%
2021-05-25,12450,2021,49862,-3.0,2,STOP_LOSS_3%
2022-07-29,12450,2022,65601,-3.0,3,STOP_LOSS_3%
2023-06-19,12450,2023,139861,-3.0,5,STOP_LOSS_3%
2024-04-02,12450,2024,245497,-3.0,1,STOP_LOSS_3%
2023-03-02,12510,2023,39000,-3.0,1,STOP_LOSS_3%
2023-03-07,12510,2023,42850,-3.0,5,STOP_LOSS_3%
2023-03-08,12510,2023,48800,-3.0,1,STOP_LOSS_3%
2023-08-03,12510,2023,31350,-3.0,9,STOP_LOSS_3%
2024-01-18,12510,2024,40800,8.455882352941178,10,MAX_DAYS
2024-04-04,12510,2024,53300,-3.0,1,STOP_LOSS_3%
2024-04-09,12510,2024,57800,-3.0,1,STOP_LOSS_3%
2024-06-25,12510,2024,72200,-3.0,1,STOP_LOSS_3%
2022-08-10,14620,2022,14000,12.142857142857142,10,MAX_DAYS
2022-08-18,14620,2022,16200,-3.0,3,STOP_LOSS_3%
2023-05-08,14620,2023,13550,-3.0,6,STOP_LOSS_3%
2024-07-16,14620,2024,13330,10.127531882970743,10,MAX_DAYS
2024-11-22,14620,2024,20350,-3.0,10,STOP_LOSS_3%
2023-04-07,14680,2023,247000,-3.0,4,STOP_LOSS_3%
2023-03-30,17800,2023,29700,26.599326599326602,10,MAX_DAYS
2023-04-04,17800,2023,35600,-3.0,2,STOP_LOSS_3%
2023-05-11,17800,2023,42100,-3.0,1,STOP_LOSS_3%
2024-12-13,17800,2024,57100,-3.0,2,STOP_LOSS_3%
2022-02-23,17960,2022,11850,-3.0,1,STOP_LOSS_3%
2022-02-24,18670,2022,136000,-3.0,1,STOP_LOSS_3%
2023-08-10,18880,2023,9007,-3.0,4,STOP_LOSS_3%
2021-09-27,20150,2021,98900,-3.0,7,STOP_LOSS_3%
2022-06-24,20150,2022,78400,-3.0,3,STOP_LOSS_3%
2023-03-03,20150,2023,71300,-3.0,2,STOP_LOSS_3%
2023-07-05,20150,2023,58000,-3.0,1,STOP_LOSS_3%
2024-12-16,20150,2024,27400,-3.0,1,STOP_LOSS_3%
