Date,Code,Year,Entry_Price,Return,Holding_Days,Exit_Reason
2022-04-21,005070,2022,57491,2.8341827416465084,1,TRAIL_STOP_5%
2024-05-27,005070,2024,152800,-1.456151832460733,2,TRAIL_STOP_5%
2021-12-21,005290,2021,42500,4.5,2,TRAIL_STOP_5%
2023-05-19,005290,2023,35200,1.2073863636363635,1,TRAIL_STOP_5%
2024-03-06,005290,2024,41500,-3.969879518072289,1,TRAIL_STOP_5%
2024-03-21,005290,2024,47950,-5.0,1,TRAIL_STOP_5%
2023-07-24,005490,2023,642000,0.4750778816199377,1,TRAIL_STOP_5%
2021-10-08,005850,2021,32050,0.6318252730109205,2,TRAIL_STOP_5%
2022-08-17,005850,2022,35600,0.47050561797752805,2,TRAIL_STOP_5%
2024-01-16,006040,2024,35963,-1.7587520507187944,1,TRAIL_STOP_5%
2023-07-25,006260,2023,120100,19.679433805162365,1,TRAIL_STOP_5%
2024-07-10,006260,2024,156700,-2.9993618379068283,2,TRAIL_STOP_5%
2024-03-07,006400,2024,403361,2.032893611429951,1,TRAIL_STOP_5%
2023-08-01,006730,2023,8175,-3.9425076452599415,1,TRAIL_STOP_5%
2021-12-30,007340,2021,14381,3.726444614421804,1,TRAIL_STOP_5%
2022-11-09,007340,2022,13479,0.5044884635358706,1,TRAIL_STOP_5%
2022-11-29,007340,2022,15082,-3.746519029306465,4,TRAIL_STOP_5%
2021-05-11,7390,2021,12500,-0.8200000000000001,1,TRAIL_STOP_5%
2021-06-18,7390,2021,21500,2.0697674418604652,1,TRAIL_STOP_5%
2021-06-22,7390,2021,27500,-2.409090909090909,1,TRAIL_STOP_5%
2021-07-21,7390,2021,38450,3.0299089726918074,1,TRAIL_STOP_5%
2022-02-03,7390,2022,18750,-2.7199999999999998,1,TRAIL_STOP_5%
2022-03-29,7390,2022,18500,-2.1756756756756754,2,TRAIL_STOP_5%
2022-07-14,7390,2022,21350,-1.440281030444965,1,TRAIL_STOP_5%
2022-10-04,7390,2022,15000,-2.15,1,TRAIL_STOP_5%
2023-03-31,7390,2023,18000,5.555555555555555,1,TRAIL_STOP_5%
2023-04-14,7390,2023,11970,0.5555555555555556,1,TRAIL_STOP_5%
2023-07-05,7390,2023,9230,-3.3531960996749732,1,TRAIL_STOP_5%
2023-11-20,7390,2023,8200,-2.451219512195122,2,TRAIL_STOP_5%
2024-03-27,7390,2024,10180,-2.107072691552063,1,TRAIL_STOP_5%
2024-05-21,7390,2024,12300,-3.7642276422764227,1,TRAIL_STOP_5%
2024-07-26,7390,2024,12700,-3.3543307086614176,1,TRAIL_STOP_5%
2024-10-23,7390,2024,11310,20.03094606542882,1,TRAIL_STOP_5%
2024-10-24,7390,2024,13980,6.21244635193133,1,TRAIL_STOP_5%
2021-08-19,7660,2021,3468,-3.6029411764705963,1,TRAIL_STOP_5%
2021-11-05,7660,2021,4386,-2.704058367533068,1,TRAIL_STOP_5%
2021-11-29,7660,2021,5057,-1.3743326082657703,1,TRAIL_STOP_5%
2021-12-23,7660,2021,5932,2.7832097100471924,1,TRAIL_STOP_5%
2022-05-25,7660,2022,7867,-3.0074996822168596,2,TRAIL_STOP_5%
2023-02-24,7660,2023,9161,0.6413055343303132,1,TRAIL_STOP_5%
2023-03-28,7660,2023,10318,2.2460748207016863,3,TRAIL_STOP_5%
2023-06-09,7660,2023,17301,5.619617363158199,1,TRAIL_STOP_5%
2024-01-22,7660,2024,33065,-5.0,1,TRAIL_STOP_5%
2024-03-04,7660,2024,35691,2.2479056344736645,1,TRAIL_STOP_5%
2024-05-16,7660,2024,49404,-4.065460286616468,1,TRAIL_STOP_5%
2024-12-03,7660,2024,26014,3.5234873529637833,1,TRAIL_STOP_5%
2023-02-07,7810,2023,16200,-0.42592592592592593,1,TRAIL_STOP_5%
2023-07-14,7810,2023,20200,4.170792079207921,1,TRAIL_STOP_5%
2023-10-13,7810,2023,15860,-1.5258511979823455,2,TRAIL_STOP_5%
2023-12-13,7810,2023,19650,9.020356234096692,1,TRAIL_STOP_5%
2024-02-13,7810,2024,19300,0.9067357512953367,1,TRAIL_STOP_5%
2021-07-05,8930,2021,88701,-5.000000000000003,1,TRAIL_STOP_5%
2023-08-09,8930,2023,41150,-4.884568651275821,2,TRAIL_STOP_5%
2024-01-16,8930,2024,56200,-5.0,1,TRAIL_STOP_5%
2024-10-24,8930,2024,39150,7.7394636015325675,1,TRAIL_STOP_5%
2024-10-30,8930,2024,52100,-5.0,1,TRAIL_STOP_5%
2023-09-11,9420,2023,27050,-0.7855822550831794,1,TRAIL_STOP_5%
2023-12-27,9420,2023,44300,-2.855530474040632,1,TRAIL_STOP_5%
2024-07-12,9420,2024,37050,-1.9230769230769231,2,TRAIL_STOP_5%
2024-12-30,9420,2024,38650,-0.5756791720569211,2,TRAIL_STOP_5%
2021-02-22,9520,2021,7140,3.11624649859944,1,TRAIL_STOP_5%
2021-03-05,9520,2021,11300,1.3053097345132743,1,TRAIL_STOP_5%
2021-05-12,9520,2021,11500,2.4347826086956523,1,TRAIL_STOP_5%
2022-07-13,9520,2022,5950,-1.8067226890756305,1,TRAIL_STOP_5%
2022-10-13,9520,2022,7450,1.6308724832214767,1,TRAIL_STOP_5%
2022-11-28,9520,2022,9230,12.18851570964247,1,TRAIL_STOP_5%
2022-11-29,9520,2022,10050,4.925373134328359,1,TRAIL_STOP_5%
2023-03-06,9520,2023,11550,10.627705627705627,1,TRAIL_STOP_5%
2023-03-16,9520,2023,12200,-5.0,1,TRAIL_STOP_5%
2023-07-14,9520,2023,33100,1.6012084592145017,1,TRAIL_STOP_5%
2023-09-05,9520,2023,34600,0.7658959537572254,1,TRAIL_STOP_5%
2023-11-06,9520,2023,28300,3.3922261484098937,1,TRAIL_STOP_5%
2023-12-27,9520,2023,29950,3.0884808013355594,1,TRAIL_STOP_5%
2024-06-11,9520,2024,22550,1.5299334811529932,2,TRAIL_STOP_5%
2024-09-02,9520,2024,19190,-3.6138613861386135,2,TRAIL_STOP_5%
2021-03-26,9540,2021,132000,-0.32196969696969696,2,TRAIL_STOP_5%
2022-07-28,9830,2022,52711,-0.5033105044487923,1,TRAIL_STOP_5%
2024-04-29,9830,2024,26300,-0.123574144486692,3,TRAIL_STOP_5%
