ATR_Mult,ZVOL_Thresh,Badge,IS_Signals,IS_Signals_Per_Year,IS_Return,IS_WinRate,IS_Std,OOS_Signals,OOS_Return,OOS_WinRate,OOS_Std
1.0,1.0,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.0,ATR만,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.0,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.0,둘다,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.2,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.2,ATR만,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.2,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.2,둘다,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.5,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.5,ATR만,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.5,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.5,둘다,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.8,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,1.8,ATR만,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,1.8,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,28,20.342890106565086,50.0,58.66512296177085
1.0,1.8,둘다,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,26,21.912880765702123,50.0,60.99517624541132
1.0,2.0,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.0,2.0,ATR만,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,27,21.46642392824231,51.85185185185185,59.69454138661906
1.0,2.0,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,27,22.177654696634317,51.85185185185185,59.18963738266055
1.0,2.0,둘다,81,20.25,2.8986885906435247,40.74074074074074,32.91417019192556,25,23.985805348465693,52.0,61.59574942575396
1.1,1.0,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.0,ATR만,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.0,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.0,둘다,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.2,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.2,ATR만,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.2,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.2,둘다,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.5,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.5,ATR만,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.5,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.5,둘다,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.8,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,1.8,ATR만,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,1.8,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,28,20.342890106565086,50.0,58.66512296177085
1.1,1.8,둘다,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,24,24.077070832293167,54.166666666666664,61.52006715604178
1.1,2.0,기본,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,29,19.991160358876684,51.724137931034484,57.507819861611324
1.1,2.0,ATR만,75,18.75,2.81027256818433,41.333333333333336,33.88207888694038,25,23.5171076077007,56.00000000000001,60.165586917155366
1.1,2.0,ZVOL만,86,21.5,2.9437365170050964,43.02325581395349,31.943628801042923,27,22.177654696634317,51.85185185185185,59.18963738266055
