VR_Thresh,Price_Thresh,Year,Signals,Avg_Return,Median_Return,Win_Rate,Std,Max_Return,Min_Return
2.0,3.0,2021,9,13.496323813885118,3.755985324295752,66.66666666666666,25.488505030956464,62.5,-10.745233968804158
2.0,3.0,2022,23,1.9406950186394043,-0.3853564547206201,47.82608695652174,12.788455629731242,32.7944572748268,-21.327123104557423
2.0,3.0,2023,21,2.7391009226613674,3.529892901873577,61.904761904761905,17.650957854382757,37.85391957190208,-41.40373470701867
2.0,3.0,2024,23,1.676742809212158,-1.6178736517719616,43.47826086956522,13.223549116186234,40.81346423562413,-14.518147684605754
2.0,3.0,2025,14,7.623995851050793,9.275857075513839,78.57142857142857,12.971666217483087,28.148148148148145,-13.059033989266544
2.0,5.0,2021,5,13.274743984685307,5.607687449246601,80.0,22.341470984582944,48.39068202640393,-10.745233968804158
2.0,5.0,2022,13,2.4345456760791886,-0.3853564547206201,46.15384615384615,14.652893733023427,32.7944572748268,-21.327123104557423
2.0,5.0,2023,14,7.0491047055414695,9.809368174060339,71.42857142857143,16.89520956859891,37.85391957190208,-17.174959871589092
2.0,5.0,2024,12,2.8011409592982517,-4.84538978056322,33.33333333333333,17.88920646246698,40.81346423562413,-14.518147684605754
2.0,5.0,2025,10,6.525988848308041,4.348896291723847,70.0,15.416448215600346,28.148148148148145,-13.059033989266544
2.0,7.0,2021,2,26.999184737825267,26.999184737825267,100.0,30.25214558497524,48.39068202640393,5.607687449246601
2.0,7.0,2022,7,2.62908372970232,-0.3853564547206201,42.857142857142854,17.45905077377674,32.7944572748268,-21.327123104557423
2.0,7.0,2023,11,4.044306759644429,3.6525172754195534,63.63636363636363,17.45190439146416,37.85391957190208,-17.174959871589092
2.0,7.0,2024,8,0.3553579483034457,-4.84538978056322,25.0,15.21121729320471,31.30252100840336,-14.518147684605754
2.0,7.0,2025,7,5.823925145646917,1.9033674963396807,71.42857142857143,15.164498779701555,25.88785046728972,-13.059033989266544
2.0,10.0,2021,1,48.39068202640393,48.39068202640393,100.0,,48.39068202640393,48.39068202640393
2.0,10.0,2022,3,-10.436880868826718,-6.04651162790698,0.0,9.490022839097383,-3.937007874015752,-21.327123104557423
2.0,10.0,2023,7,11.881120863567748,12.265992556702487,85.71428571428571,16.258813086974087,37.85391957190208,-15.797546012269937
2.0,10.0,2024,4,-3.208798871844101,-6.4230529595015575,25.0,13.12500617267749,14.529058116232465,-14.518147684605754
2.0,10.0,2025,3,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,25.88785046728972,-9.233176838810644
2.5,3.0,2021,2,-1.5265467236999228,-1.5265467236999228,50.0,7.470628465946005,3.755985324295752,-6.809078771695598
2.5,3.0,2022,13,0.955333897155084,-0.6423982869379063,46.15384615384615,14.070217262218245,32.7944572748268,-21.327123104557423
2.5,3.0,2023,18,5.136428485930154,3.591205088646565,66.66666666666666,15.173632975073511,37.85391957190208,-17.174959871589092
2.5,3.0,2024,16,0.7270930226949597,-2.776149940640077,37.5,12.984836669581732,40.81346423562413,-14.518147684605754
2.5,3.0,2025,11,11.667433561758374,11.047835990888387,90.9090909090909,11.047180158099813,28.148148148148145,-9.233176838810644
2.5,5.0,2021,1,3.755985324295752,3.755985324295752,100.0,,3.755985324295752,3.755985324295752
2.5,5.0,2022,9,1.3385011578533907,-3.937007874015752,44.44444444444444,16.8002637020355,32.7944572748268,-21.327123104557423
2.5,5.0,2023,13,6.457863553901911,9.504232531326796,69.23076923076923,17.43369427449815,37.85391957190208,-17.174959871589092
2.5,5.0,2024,9,-0.04456095749867966,-5.429864253393668,22.22222222222222,16.896081529184467,40.81346423562413,-14.518147684605754
2.5,5.0,2025,7,12.409387963958777,11.047835990888387,85.71428571428571,14.163155136640468,28.148148148148145,-9.233176838810644
2.5,7.0,2022,5,0.32416019394330214,-3.937007874015752,40.0,19.886404324462102,32.7944572748268,-21.327123104557423
2.5,7.0,2023,11,4.044306759644429,3.6525172754195534,63.63636363636363,17.45190439146416,37.85391957190208,-17.174959871589092
2.5,7.0,2024,6,-7.16478592303471,-5.6817733134333075,0.0,4.934204288334998,-1.2461059190031154,-14.518147684605754
2.5,7.0,2025,5,10.384628502491058,11.047835990888387,80.0,15.031925574584747,25.88785046728972,-9.233176838810644
2.5,10.0,2022,3,-10.436880868826718,-6.04651162790698,0.0,9.490022839097383,-3.937007874015752,-21.327123104557423
2.5,10.0,2023,7,11.881120863567748,12.265992556702487,85.71428571428571,16.258813086974087,37.85391957190208,-15.797546012269937
2.5,10.0,2024,3,-9.121417867869622,-11.6,0.0,6.97454659431437,-1.2461059190031154,-14.518147684605754
2.5,10.0,2025,3,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,25.88785046728972,-9.233176838810644
3.0,3.0,2021,1,3.755985324295752,3.755985324295752,100.0,,3.755985324295752,3.755985324295752
3.0,3.0,2022,11,0.15919976697575644,-0.6423982869379063,45.45454545454545,14.064553990257734,32.7944572748268,-21.327123104557423
3.0,3.0,2023,14,5.000570691855209,6.578374903373175,71.42857142857143,13.397543043732297,29.350348027842223,-17.174959871589092
3.0,3.0,2024,9,0.9916847299230146,-4.260915307732772,44.44444444444444,16.27095815244322,40.81346423562413,-14.518147684605754
3.0,3.0,2025,7,10.215981138368178,8.423326133909281,85.71428571428571,13.269982903519569,28.148148148148145,-9.233176838810644
3.0,5.0,2021,1,3.755985324295752,3.755985324295752,100.0,,3.755985324295752,3.755985324295752
3.0,5.0,2022,8,-0.8197675927637742,-4.991759750961366,37.5,16.57280886474387,32.7944572748268,-21.327123104557423
