VR,Price,Z_Score,ATR_Mult,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe
4.5,10.0,None,1.5,OOS,1,317,6.1,10.54,3.26,49.8,30.6,0.344
4.5,10.0,None,2.0,IS,4,839,4.0,3.58,-2.13,45.3,27.24,0.131
4.5,10.0,None,2.0,OOS,1,313,6.0,10.53,3.15,49.8,30.75,0.342
4.5,10.0,1.5,None,IS,4,797,3.8,3.15,-2.35,45.0,26.47,0.119
4.5,10.0,1.5,None,OOS,1,307,5.9,10.08,3.03,49.5,30.33,0.332
4.5,10.0,1.5,1.3,IS,4,794,3.8,3.19,-2.31,45.1,26.51,0.12
4.5,10.0,1.5,1.3,OOS,1,307,5.9,10.08,3.03,49.5,30.33,0.332
4.5,10.0,1.5,1.5,IS,4,793,3.8,3.21,-2.28,45.1,26.52,0.121
4.5,10.0,1.5,1.5,OOS,1,307,5.9,10.08,3.03,49.5,30.33,0.332
4.5,10.0,1.5,2.0,IS,4,788,3.8,3.25,-2.27,45.3,26.55,0.122
4.5,10.0,1.5,2.0,OOS,1,303,5.8,10.07,2.85,49.5,30.48,0.33
4.5,10.0,2.0,None,IS,4,784,3.8,3.31,-2.22,45.3,26.59,0.124
4.5,10.0,2.0,None,OOS,1,303,5.8,10.21,3.03,49.5,30.52,0.334
4.5,10.0,2.0,1.3,IS,4,781,3.8,3.34,-2.18,45.3,26.63,0.125
4.5,10.0,2.0,1.3,OOS,1,303,5.8,10.21,3.03,49.5,30.52,0.334
4.5,10.0,2.0,1.5,IS,4,780,3.8,3.37,-2.17,45.4,26.64,0.126
4.5,10.0,2.0,1.5,OOS,1,303,5.8,10.21,3.03,49.5,30.52,0.334
4.5,10.0,2.0,2.0,IS,4,775,3.7,3.41,-2.15,45.5,26.67,0.128
4.5,10.0,2.0,2.0,OOS,1,299,5.8,10.19,2.85,49.5,30.67,0.332
4.5,10.0,2.5,None,IS,4,764,3.7,3.51,-2.14,45.8,26.8,0.131
4.5,10.0,2.5,None,OOS,1,295,5.7,10.1,2.23,48.8,30.84,0.328
4.5,10.0,2.5,1.3,IS,4,761,3.7,3.54,-2.13,45.9,26.84,0.132
4.5,10.0,2.5,1.3,OOS,1,295,5.7,10.1,2.23,48.8,30.84,0.328
4.5,10.0,2.5,1.5,IS,4,760,3.7,3.57,-2.06,45.9,26.85,0.133
4.5,10.0,2.5,1.5,OOS,1,295,5.7,10.1,2.23,48.8,30.84,0.328
4.5,10.0,2.5,2.0,IS,4,756,3.6,3.61,-1.98,46.0,26.87,0.134
4.5,10.0,2.5,2.0,OOS,1,291,5.6,10.09,1.89,48.8,31.0,0.325
4.5,10.0,3.0,None,IS,4,750,3.6,3.68,-1.78,46.3,26.8,0.137
4.5,10.0,3.0,None,OOS,1,288,5.5,10.17,1.89,49.0,31.09,0.327
4.5,10.0,3.0,1.3,IS,4,747,3.6,3.72,-1.78,46.3,26.84,0.138
4.5,10.0,3.0,1.3,OOS,1,288,5.5,10.17,1.89,49.0,31.09,0.327
4.5,10.0,3.0,1.5,IS,4,746,3.6,3.75,-1.75,46.4,26.85,0.14
4.5,10.0,3.0,1.5,OOS,1,288,5.5,10.17,1.89,49.0,31.09,0.327
4.5,10.0,3.0,2.0,IS,4,742,3.6,3.78,-1.73,46.5,26.87,0.141
4.5,10.0,3.0,2.0,OOS,1,284,5.5,10.16,1.55,48.9,31.26,0.325
5.0,5.0,None,None,IS,4,1367,6.6,2.53,-2.18,44.5,23.69,0.107
5.0,5.0,None,None,OOS,1,410,7.9,11.56,4.31,55.6,28.64,0.404
5.0,5.0,None,1.3,IS,4,1361,6.5,2.53,-2.18,44.5,23.73,0.107
5.0,5.0,None,1.3,OOS,1,409,7.9,11.56,4.31,55.7,28.64,0.404
5.0,5.0,None,1.5,IS,4,1359,6.5,2.56,-2.15,44.5,23.73,0.108
5.0,5.0,None,1.5,OOS,1,408,7.8,11.54,4.21,55.6,28.67,0.402
5.0,5.0,None,2.0,IS,4,1348,6.5,2.58,-2.17,44.6,23.78,0.109
5.0,5.0,None,2.0,OOS,1,395,7.6,11.29,3.92,55.7,28.37,0.398
5.0,5.0,1.5,None,IS,4,1277,6.1,2.22,-2.28,44.3,23.14,0.096
5.0,5.0,1.5,None,OOS,1,396,7.6,11.07,4.21,55.8,28.13,0.394
5.0,5.0,1.5,1.3,IS,4,1272,6.1,2.25,-2.27,44.3,23.18,0.097
5.0,5.0,1.5,1.3,OOS,1,395,7.6,11.07,4.21,55.9,28.13,0.394
5.0,5.0,1.5,1.5,IS,4,1270,6.1,2.29,-2.26,44.4,23.18,0.099
5.0,5.0,1.5,1.5,OOS,1,394,7.6,11.04,4.07,55.8,28.16,0.392
5.0,5.0,1.5,2.0,IS,4,1260,6.1,2.3,-2.26,44.5,23.22,0.099
5.0,5.0,1.5,2.0,OOS,1,381,7.3,10.78,3.9,55.9,27.82,0.387
5.0,5.0,2.0,None,IS,4,1254,6.0,2.39,-2.17,44.7,23.25,0.103
5.0,5.0,2.0,None,OOS,1,391,7.5,11.16,4.31,55.8,28.3,0.394
5.0,5.0,2.0,1.3,IS,4,1249,6.0,2.42,-2.15,44.7,23.28,0.104
5.0,5.0,2.0,1.3,OOS,1,390,7.5,11.16,4.31,55.9,28.3,0.394
5.0,5.0,2.0,1.5,IS,4,1247,6.0,2.46,-2.13,44.7,23.28,0.106
5.0,5.0,2.0,1.5,OOS,1,389,7.5,11.14,4.21,55.8,28.34,0.393
5.0,5.0,2.0,2.0,IS,4,1237,5.9,2.48,-2.13,44.9,23.33,0.106
5.0,5.0,2.0,2.0,OOS,1,376,7.2,10.87,3.92,55.9,28.0,0.388
5.0,5.0,2.5,None,IS,4,1227,5.9,2.36,-2.18,44.7,23.21,0.102
5.0,5.0,2.5,None,OOS,1,375,7.2,10.69,3.8,54.9,28.43,0.376
5.0,5.0,2.5,1.3,IS,4,1222,5.9,2.39,-2.17,44.8,23.25,0.103
5.0,5.0,2.5,1.3,OOS,1,374,7.2,10.69,3.8,55.1,28.43,0.376
5.0,5.0,2.5,1.5,IS,4,1220,5.9,2.43,-2.14,44.8,23.25,0.104
5.0,5.0,2.5,1.5,OOS,1,373,7.2,10.66,3.76,55.0,28.46,0.375
5.0,5.0,2.5,2.0,IS,4,1211,5.8,2.44,-2.13,44.9,23.28,0.105
5.0,5.0,2.5,2.0,OOS,1,362,7.0,10.46,3.71,55.2,28.05,0.373
5.0,5.0,3.0,None,IS,4,1198,5.8,2.4,-2.18,44.8,23.39,0.103
5.0,5.0,3.0,None,OOS,1,367,7.1,10.53,3.71,54.8,28.47,0.37
5.0,5.0,3.0,1.3,IS,4,1193,5.7,2.43,-2.18,44.8,23.43,0.104
5.0,5.0,3.0,1.3,OOS,1,366,7.0,10.53,3.71,54.9,28.47,0.37
5.0,5.0,3.0,1.5,IS,4,1191,5.7,2.47,-2.15,44.9,23.43,0.106
5.0,5.0,3.0,1.5,OOS,1,365,7.0,10.5,3.69,54.8,28.51,0.368
5.0,5.0,3.0,2.0,IS,4,1183,5.7,2.48,-2.15,45.0,23.46,0.106
5.0,5.0,3.0,2.0,OOS,1,354,6.8,10.29,3.6,55.1,28.09,0.366
5.0,7.0,None,None,IS,4,1111,5.3,2.59,-2.45,43.9,24.88,0.104
5.0,7.0,None,None,OOS,1,351,6.8,11.39,3.92,55.3,29.16,0.39
5.0,7.0,None,1.3,IS,4,1108,5.3,2.61,-2.45,44.0,24.91,0.105
5.0,7.0,None,1.3,OOS,1,350,6.7,11.39,3.92,55.4,29.16,0.39
5.0,7.0,None,1.5,IS,4,1107,5.3,2.63,-2.44,44.0,24.91,0.106
5.0,7.0,None,1.5,OOS,1,350,6.7,11.39,3.92,55.4,29.16,0.39
5.0,7.0,None,2.0,IS,4,1102,5.3,2.66,-2.45,44.1,24.93,0.107
