VR,Price,Z_Score,ATR_Mult,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe
3.0,5.0,2.0,1.3,IS,4,2626,12.6,2.08,-2.2,44.0,22.65,0.092
3.0,5.0,2.0,1.3,OOS,1,1031,19.8,8.6,2.84,51.9,26.98,0.319
3.0,5.0,2.0,1.5,IS,4,2609,12.5,2.07,-2.23,44.0,22.59,0.092
3.0,5.0,2.0,1.5,OOS,1,1020,19.6,8.62,2.84,51.9,27.07,0.318
3.0,5.0,2.0,2.0,IS,4,2416,11.6,2.17,-2.15,44.3,22.71,0.096
3.0,5.0,2.0,2.0,OOS,1,921,17.7,8.26,2.63,51.7,25.92,0.319
3.0,5.0,2.5,None,IS,4,2467,11.9,2.1,-2.18,44.3,22.66,0.093
3.0,5.0,2.5,None,OOS,1,957,18.4,7.82,2.37,51.4,25.65,0.305
3.0,5.0,2.5,1.3,IS,4,2457,11.8,2.12,-2.18,44.3,22.68,0.093
3.0,5.0,2.5,1.3,OOS,1,955,18.4,7.83,2.37,51.5,25.67,0.305
3.0,5.0,2.5,1.5,IS,4,2440,11.7,2.11,-2.2,44.3,22.62,0.093
3.0,5.0,2.5,1.5,OOS,1,944,18.2,7.84,2.37,51.5,25.76,0.305
3.0,5.0,2.5,2.0,IS,4,2272,10.9,2.26,-2.11,44.6,22.85,0.099
3.0,5.0,2.5,2.0,OOS,1,866,16.7,7.87,2.23,51.4,25.88,0.304
3.0,5.0,3.0,None,IS,4,2277,10.9,1.89,-2.24,44.3,21.63,0.087
3.0,5.0,3.0,None,OOS,1,877,16.9,8.08,2.66,51.5,25.82,0.313
3.0,5.0,3.0,1.3,IS,4,2267,10.9,1.91,-2.24,44.3,21.65,0.088
3.0,5.0,3.0,1.3,OOS,1,875,16.8,8.09,2.67,51.7,25.83,0.313
3.0,5.0,3.0,1.5,IS,4,2253,10.8,1.89,-2.25,44.3,21.58,0.088
3.0,5.0,3.0,1.5,OOS,1,867,16.7,8.08,2.66,51.7,25.89,0.312
3.0,5.0,3.0,2.0,IS,4,2121,10.2,2.06,-2.13,44.6,21.77,0.095
3.0,5.0,3.0,2.0,OOS,1,800,15.4,8.03,2.53,51.6,25.9,0.31
3.0,7.0,None,None,IS,4,2192,10.5,2.92,-1.99,45.5,24.72,0.118
3.0,7.0,None,None,OOS,1,874,16.8,9.62,3.17,51.8,28.86,0.334
3.0,7.0,None,1.3,IS,4,2186,10.5,2.93,-1.99,45.5,24.75,0.118
3.0,7.0,None,1.3,OOS,1,872,16.8,9.64,3.21,51.9,28.87,0.334
3.0,7.0,None,1.5,IS,4,2179,10.5,2.89,-2.0,45.4,24.68,0.117
3.0,7.0,None,1.5,OOS,1,867,16.7,9.71,3.26,52.0,28.93,0.336
3.0,7.0,None,2.0,IS,4,2081,10.0,2.83,-2.01,45.4,24.74,0.115
3.0,7.0,None,2.0,OOS,1,818,15.7,9.17,2.83,52.0,27.41,0.335
3.0,7.0,1.5,None,IS,4,1967,9.5,2.5,-2.13,45.2,24.05,0.104
3.0,7.0,1.5,None,OOS,1,811,15.6,9.32,3.08,51.8,28.75,0.324
3.0,7.0,1.5,1.3,IS,4,1962,9.4,2.52,-2.13,45.2,24.07,0.105
3.0,7.0,1.5,1.3,OOS,1,809,15.6,9.34,3.1,51.9,28.77,0.325
3.0,7.0,1.5,1.5,IS,4,1956,9.4,2.48,-2.14,45.1,23.99,0.103
3.0,7.0,1.5,1.5,OOS,1,805,15.5,9.39,3.1,51.9,28.82,0.326
3.0,7.0,1.5,2.0,IS,4,1884,9.1,2.43,-2.14,45.3,24.0,0.101
3.0,7.0,1.5,2.0,OOS,1,768,14.8,8.71,2.67,51.7,27.15,0.321
3.0,7.0,2.0,None,IS,4,1881,9.0,2.59,-2.13,45.1,24.23,0.107
3.0,7.0,2.0,None,OOS,1,775,14.9,9.35,3.1,52.0,29.01,0.322
3.0,7.0,2.0,1.3,IS,4,1876,9.0,2.61,-2.11,45.1,24.26,0.108
3.0,7.0,2.0,1.3,OOS,1,773,14.9,9.37,3.11,52.1,29.03,0.323
3.0,7.0,2.0,1.5,IS,4,1871,9.0,2.58,-2.13,45.1,24.17,0.107
3.0,7.0,2.0,1.5,OOS,1,769,14.8,9.42,3.11,52.1,29.08,0.324
3.0,7.0,2.0,2.0,IS,4,1805,8.7,2.56,-2.13,45.3,24.18,0.106
3.0,7.0,2.0,2.0,OOS,1,735,14.1,8.72,2.77,52.0,27.33,0.319
3.0,7.0,2.5,None,IS,4,1784,8.6,2.64,-2.17,45.1,24.41,0.108
3.0,7.0,2.5,None,OOS,1,733,14.1,8.58,2.63,51.4,27.46,0.312
3.0,7.0,2.5,1.3,IS,4,1779,8.6,2.66,-2.15,45.1,24.44,0.109
3.0,7.0,2.5,1.3,OOS,1,731,14.1,8.6,2.65,51.6,27.48,0.313
3.0,7.0,2.5,1.5,IS,4,1774,8.5,2.63,-2.17,45.0,24.35,0.108
3.0,7.0,2.5,1.5,OOS,1,727,14.0,8.64,2.65,51.6,27.53,0.314
3.0,7.0,2.5,2.0,IS,4,1716,8.2,2.64,-2.13,45.3,24.33,0.108
3.0,7.0,2.5,2.0,OOS,1,699,13.4,8.48,2.35,51.5,27.48,0.309
3.0,7.0,3.0,None,IS,4,1669,8.0,2.49,-2.18,45.2,23.24,0.107
3.0,7.0,3.0,None,OOS,1,677,13.0,8.68,2.72,51.4,27.52,0.316
3.0,7.0,3.0,1.3,IS,4,1664,8.0,2.51,-2.17,45.2,23.26,0.108
3.0,7.0,3.0,1.3,OOS,1,675,13.0,8.7,2.77,51.6,27.54,0.316
3.0,7.0,3.0,1.5,IS,4,1660,8.0,2.46,-2.18,45.1,23.17,0.106
3.0,7.0,3.0,1.5,OOS,1,672,12.9,8.73,2.72,51.5,27.57,0.317
3.0,7.0,3.0,2.0,IS,4,1616,7.8,2.45,-2.14,45.4,23.12,0.106
3.0,7.0,3.0,2.0,OOS,1,645,12.4,8.56,2.53,51.5,27.5,0.311
3.0,10.0,None,None,IS,4,1245,6.0,3.78,-1.78,45.9,26.62,0.142
3.0,10.0,None,None,OOS,1,519,10.0,9.0,1.23,47.8,30.89,0.291
3.0,10.0,None,1.3,IS,4,1242,6.0,3.81,-1.78,45.9,26.64,0.143
3.0,10.0,None,1.3,OOS,1,518,10.0,9.02,1.25,47.9,30.92,0.292
3.0,10.0,None,1.5,IS,4,1238,6.0,3.74,-1.87,45.8,26.55,0.141
3.0,10.0,None,1.5,OOS,1,517,9.9,9.08,1.27,48.0,30.92,0.294
3.0,10.0,None,2.0,IS,4,1204,5.8,3.6,-2.07,45.7,26.46,0.136
3.0,10.0,None,2.0,OOS,1,502,9.7,8.51,1.05,48.0,28.88,0.295
3.0,10.0,1.5,None,IS,4,1125,5.4,3.5,-2.0,45.8,26.09,0.134
3.0,10.0,1.5,None,OOS,1,497,9.6,8.71,1.05,47.7,30.92,0.282
3.0,10.0,1.5,1.3,IS,4,1122,5.4,3.53,-2.0,45.8,26.11,0.135
3.0,10.0,1.5,1.3,OOS,1,496,9.5,8.73,1.2,47.8,30.95,0.282
3.0,10.0,1.5,1.5,IS,4,1118,5.4,3.45,-2.07,45.7,26.0,0.133
3.0,10.0,1.5,1.5,OOS,1,495,9.5,8.8,1.23,47.9,30.95,0.284
3.0,10.0,1.5,2.0,IS,4,1098,5.3,3.26,-2.17,45.7,25.79,0.126
3.0,10.0,1.5,2.0,OOS,1,482,9.3,8.24,0.9,47.9,28.79,0.286
3.0,10.0,2.0,None,IS,4,1089,5.2,3.6,-2.0,45.8,26.18,0.138
3.0,10.0,2.0,None,OOS,1,481,9.2,8.85,1.05,47.8,31.16,0.284
3.0,10.0,2.0,1.3,IS,4,1086,5.2,3.63,-1.98,45.9,26.21,0.138
3.0,10.0,2.0,1.3,OOS,1,480,9.2,8.88,1.2,47.9,31.19,0.285
3.0,10.0,2.0,1.5,IS,4,1082,5.2,3.55,-2.0,45.7,26.1,0.136
3.0,10.0,2.0,1.5,OOS,1,479,9.2,8.95,1.23,48.0,31.19,0.287
3.0,10.0,2.0,2.0,IS,4,1065,5.1,3.38,-2.15,45.8,25.88,0.13
3.0,10.0,2.0,2.0,OOS,1,467,9.0,8.37,1.05,48.2,28.94,0.289
3.0,10.0,2.5,None,IS,4,1046,5.0,3.68,-2.0,46.1,26.36,0.14
3.0,10.0,2.5,None,OOS,1,461,8.9,8.04,0.49,47.1,28.89,0.278
3.0,10.0,2.5,1.3,IS,4,1043,5.0,3.71,-2.0,46.1,26.39,0.14
3.0,10.0,2.5,1.3,OOS,1,460,8.8,8.06,0.55,47.2,28.92,0.279
3.0,10.0,2.5,1.5,IS,4,1039,5.0,3.62,-2.0,46.0,26.27,0.138
3.0,10.0,2.5,1.5,OOS,1,459,8.8,8.14,0.56,47.3,28.92,0.281
3.0,10.0,2.5,2.0,IS,4,1024,4.9,3.44,-2.14,46.0,26.02,0.132
3.0,10.0,2.5,2.0,OOS,1,450,8.7,8.16,0.55,47.6,29.04,0.281
3.0,10.0,3.0,None,IS,4,993,4.8,3.75,-1.78,46.4,26.41,0.142
3.0,10.0,3.0,None,OOS,1,429,8.2,8.49,0.58,47.8,29.06,0.292
3.0,10.0,3.0,1.3,IS,4,990,4.8,3.77,-1.78,46.5,26.44,0.143
3.0,10.0,3.0,1.3,OOS,1,428,8.2,8.51,0.59,47.9,29.09,0.293
3.0,10.0,3.0,1.5,IS,4,986,4.7,3.69,-1.87,46.3,26.31,0.14
3.0,10.0,3.0,1.5,OOS,1,427,8.2,8.59,0.75,48.0,29.09,0.295
3.0,10.0,3.0,2.0,IS,4,973,4.7,3.5,-2.0,46.4,26.05,0.134
3.0,10.0,3.0,2.0,OOS,1,418,8.0,8.63,0.59,48.3,29.21,0.295
3.5,5.0,None,None,IS,4,2520,12.1,2.57,-2.12,44.5,23.84,0.108
3.5,5.0,None,None,OOS,1,898,17.3,9.31,3.26,51.8,28.09,0.331
3.5,5.0,None,1.3,IS,4,2510,12.1,2.55,-2.13,44.5,23.86,0.107
3.5,5.0,None,1.3,OOS,1,897,17.2,9.31,3.26,51.8,28.09,0.331
3.5,5.0,None,1.5,IS,4,2499,12.0,2.57,-2.13,44.5,23.79,0.108
3.5,5.0,None,1.5,OOS,1,892,17.2,9.31,3.26,51.9,28.11,0.331
3.5,5.0,None,2.0,IS,4,2349,11.3,2.66,-2.02,44.7,23.95,0.111
3.5,5.0,None,2.0,OOS,1,838,16.1,8.87,2.84,51.7,26.73,0.332
3.5,5.0,1.5,None,IS,4,2268,10.9,2.12,-2.38,43.8,23.17,0.091
3.5,5.0,1.5,None,OOS,1,839,16.1,9.13,3.55,52.1,27.96,0.327
3.5,5.0,1.5,1.3,IS,4,2260,10.9,2.12,-2.38,43.8,23.19,0.091
3.5,5.0,1.5,1.3,OOS,1,838,16.1,9.13,3.55,52.1,27.96,0.327
3.5,5.0,1.5,1.5,IS,4,2252,10.8,2.1,-2.38,43.7,23.12,0.091
3.5,5.0,1.5,1.5,OOS,1,833,16.0,9.14,3.55,52.2,27.99,0.326
3.5,5.0,1.5,2.0,IS,4,2139,10.3,2.21,-2.25,44.2,23.19,0.095
3.5,5.0,1.5,2.0,OOS,1,786,15.1,8.54,3.03,51.7,26.47,0.323
3.5,5.0,2.0,None,IS,4,2184,10.5,2.23,-2.27,44.0,23.29,0.096
3.5,5.0,2.0,None,OOS,1,808,15.5,9.28,3.57,52.5,28.28,0.328
3.5,5.0,2.0,1.3,IS,4,2176,10.5,2.23,-2.27,44.0,23.32,0.096
3.5,5.0,2.0,1.3,OOS,1,807,15.5,9.28,3.57,52.5,28.28,0.328
3.5,5.0,2.0,1.5,IS,4,2168,10.4,2.21,-2.27,44.0,23.24,0.095
3.5,5.0,2.0,1.5,OOS,1,802,15.4,9.28,3.57,52.6,28.3,0.328
3.5,5.0,2.0,2.0,IS,4,2062,9.9,2.34,-2.14,44.4,23.31,0.101
3.5,5.0,2.0,2.0,OOS,1,757,14.6,8.68,3.11,52.2,26.73,0.325
3.5,5.0,2.5,None,IS,4,2072,10.0,2.21,-2.29,44.2,23.23,0.095
3.5,5.0,2.5,None,OOS,1,762,14.7,8.49,2.86,51.7,26.92,0.316
3.5,5.0,2.5,1.3,IS,4,2064,9.9,2.21,-2.29,44.1,23.25,0.095
3.5,5.0,2.5,1.3,OOS,1,761,14.6,8.49,2.86,51.8,26.92,0.316
3.5,5.0,2.5,1.5,IS,4,2056,9.9,2.2,-2.29,44.1,23.18,0.095
3.5,5.0,2.5,1.5,OOS,1,756,14.5,8.49,2.86,51.9,26.94,0.315
3.5,5.0,2.5,2.0,IS,4,1960,9.4,2.39,-2.13,44.6,23.41,0.102
3.5,5.0,2.5,2.0,OOS,1,720,13.8,8.34,2.67,51.7,26.82,0.311
3.5,5.0,3.0,None,IS,4,1959,9.4,1.86,-2.37,44.1,21.9,0.085
3.5,5.0,3.0,None,OOS,1,718,13.8,8.58,3.17,51.9,26.74,0.321
3.5,5.0,3.0,1.3,IS,4,1951,9.4,1.86,-2.37,44.0,21.92,0.085
3.5,5.0,3.0,1.3,OOS,1,717,13.8,8.58,3.17,52.0,26.74,0.321
3.5,5.0,3.0,1.5,IS,4,1944,9.3,1.84,-2.36,44.0,21.83,0.084
3.5,5.0,3.0,1.5,OOS,1,712,13.7,8.58,3.17,52.1,26.76,0.321
3.5,5.0,3.0,2.0,IS,4,1867,9.0,2.05,-2.18,44.5,22.07,0.093
3.5,5.0,3.0,2.0,OOS,1,676,13.0,8.42,2.84,51.9,26.63,0.316
3.5,7.0,None,None,IS,4,1851,8.9,2.8,-2.28,44.5,25.02,0.112
3.5,7.0,None,None,OOS,1,707,13.6,10.09,3.6,52.5,29.85,0.338
3.5,7.0,None,1.3,IS,4,1845,8.9,2.81,-2.28,44.4,25.06,0.112
3.5,7.0,None,1.3,OOS,1,706,13.6,10.09,3.6,52.5,29.85,0.338
3.5,7.0,None,1.5,IS,4,1842,8.9,2.76,-2.28,44.4,24.97,0.111
3.5,7.0,None,1.5,OOS,1,705,13.6,10.14,3.64,52.6,29.85,0.34
3.5,7.0,None,2.0,IS,4,1791,8.6,2.83,-2.24,44.7,25.14,0.113
3.5,7.0,None,2.0,OOS,1,681,13.1,9.83,3.57,52.6,28.27,0.348
3.5,7.0,1.5,None,IS,4,1697,8.2,2.36,-2.37,44.2,24.31,0.097
3.5,7.0,1.5,None,OOS,1,662,12.7,9.73,3.59,52.4,29.65,0.328
3.5,7.0,1.5,1.3,IS,4,1692,8.1,2.38,-2.36,44.2,24.34,0.098
3.5,7.0,1.5,1.3,OOS,1,661,12.7,9.73,3.59,52.5,29.65,0.328
3.5,7.0,1.5,1.5,IS,4,1689,8.1,2.32,-2.37,44.2,24.24,0.096
3.5,7.0,1.5,1.5,OOS,1,660,12.7,9.78,3.59,52.6,29.65,0.33
3.5,7.0,1.5,2.0,IS,4,1649,7.9,2.39,-2.32,44.5,24.36,0.098
3.5,7.0,1.5,2.0,OOS,1,641,12.3,9.3,3.35,52.3,27.91,0.333
3.5,7.0,2.0,None,IS,4,1640,7.9,2.46,-2.29,44.3,24.48,0.101
3.5,7.0,2.0,None,OOS,1,636,12.2,9.92,3.6,52.7,30.07,0.33
3.5,7.0,2.0,1.3,IS,4,1635,7.9,2.49,-2.28,44.3,24.51,0.101
3.5,7.0,2.0,1.3,OOS,1,635,12.2,9.92,3.6,52.8,30.07,0.33
3.5,7.0,2.0,1.5,IS,4,1632,7.8,2.43,-2.29,44.3,24.41,0.099
3.5,7.0,2.0,1.5,OOS,1,634,12.2,9.97,3.64,52.8,30.07,0.332
3.5,7.0,2.0,2.0,IS,4,1595,7.7,2.5,-2.24,44.6,24.52,0.102
3.5,7.0,2.0,2.0,OOS,1,617,11.9,9.48,3.57,52.7,28.24,0.336
3.5,7.0,2.5,None,IS,4,1571,7.6,2.5,-2.37,44.3,24.63,0.101
3.5,7.0,2.5,None,OOS,1,608,11.7,9.1,3.12,51.8,28.39,0.321
3.5,7.0,2.5,1.3,IS,4,1566,7.5,2.52,-2.36,44.3,24.66,0.102
3.5,7.0,2.5,1.3,OOS,1,607,11.7,9.1,3.12,51.9,28.39,0.321
3.5,7.0,2.5,1.5,IS,4,1563,7.5,2.46,-2.37,44.3,24.56,0.1
3.5,7.0,2.5,1.5,OOS,1,606,11.7,9.15,3.17,52.0,28.38,0.322
3.5,7.0,2.5,2.0,IS,4,1530,7.4,2.55,-2.26,44.6,24.64,0.103
3.5,7.0,2.5,2.0,OOS,1,591,11.4,9.12,3.03,51.9,28.38,0.321
3.5,7.0,3.0,None,IS,4,1500,7.2,2.17,-2.38,44.2,23.14,0.094
3.5,7.0,3.0,None,OOS,1,573,11.0,9.02,3.06,51.7,28.14,0.32
3.5,7.0,3.0,1.3,IS,4,1495,7.2,2.19,-2.38,44.2,23.17,0.095
3.5,7.0,3.0,1.3,OOS,1,572,11.0,9.02,3.06,51.7,28.14,0.32
3.5,7.0,3.0,1.5,IS,4,1492,7.2,2.13,-2.38,44.2,23.06,0.092
3.5,7.0,3.0,1.5,OOS,1,571,11.0,9.08,3.08,51.8,28.14,0.323
3.5,7.0,3.0,2.0,IS,4,1466,7.0,2.22,-2.33,44.5,23.17,0.096
3.5,7.0,3.0,2.0,OOS,1,556,10.7,9.04,2.86,51.8,28.13,0.321
3.5,10.0,None,None,IS,4,1108,5.3,3.48,-2.28,45.0,26.44,0.132
3.5,10.0,None,None,OOS,1,448,8.6,9.47,1.64,48.7,31.62,0.299
3.5,10.0,None,1.3,IS,4,1105,5.3,3.5,-2.28,45.1,26.47,0.132
3.5,10.0,None,1.3,OOS,1,448,8.6,9.47,1.64,48.7,31.62,0.299
3.5,10.0,None,1.5,IS,4,1102,5.3,3.42,-2.28,45.0,26.34,0.13
3.5,10.0,None,1.5,OOS,1,447,8.6,9.54,1.93,48.8,31.62,0.302
3.5,10.0,None,2.0,IS,4,1084,5.2,3.42,-2.35,45.1,26.47,0.129
3.5,10.0,None,2.0,OOS,1,438,8.4,8.93,1.55,48.6,29.23,0.306
3.5,10.0,1.5,None,IS,4,1019,4.9,3.07,-2.56,44.8,25.86,0.119
3.5,10.0,1.5,None,OOS,1,432,8.3,9.33,2.23,48.8,31.58,0.295
3.5,10.0,1.5,1.3,IS,4,1016,4.9,3.1,-2.55,44.9,25.89,0.12
3.5,10.0,1.5,1.3,OOS,1,432,8.3,9.33,2.23,48.8,31.58,0.295
3.5,10.0,1.5,1.5,IS,4,1013,4.9,3.01,-2.56,44.8,25.74,0.117
3.5,10.0,1.5,1.5,OOS,1,431,8.3,9.41,2.27,49.0,31.58,0.298
3.5,10.0,1.5,2.0,IS,4,1002,4.8,3.02,-2.58,45.0,25.81,0.117
