매수일자,종목코드,종목명,시장,수급필터,진입가(종가),당일수익률(%),VR,10일후수익률(%),20일후수익률(%)
2025-01-15,067310,하나마이크론,KOSDAQ,개인 30D BUY,11460,6.31,3.61,-14.14,4.8
2025-01-15,067310,하나마이크론,KOSDAQ,금융투자 10D SELL,11460,6.31,3.61,-14.14,4.8
2025-01-16,115180,큐리언트,KOSDAQ,연기금 30D SELL,5570,8.79,3.57,-15.17,5.57
2025-01-17,131970,두산테스나,KOSDAQ,연기금 30D SELL,32850,11.17,4.43,-10.96,-0.76
2025-01-17,089030,테크윙,KOSDAQ,금융투자 10D SELL,48250,5.35,3.05,-13.89,-9.64
2025-01-17,417200,LS머트리얼즈,KOSDAQ,금융투자 10D SELL,14810,18.48,13.32,-12.56,-12.83
2025-01-17,033500,동성화인텍,KOSDAQ,금융투자 10D SELL,18430,13.0,4.91,13.94,10.69
2025-01-17,131970,두산테스나,KOSDAQ,금융투자 10D SELL,32850,11.17,4.43,-10.96,-0.76
2025-01-17,033500,동성화인텍,KOSDAQ,연기금 30D SELL,18430,13.0,4.91,13.94,10.69
2025-01-17,417200,LS머트리얼즈,KOSDAQ,개인 30D BUY,14810,18.48,13.32,-12.56,-12.83
2025-01-17,131970,두산테스나,KOSDAQ,개인 30D BUY,32850,11.17,4.43,-10.96,-0.76
2025-01-17,403870,HPSP,KOSDAQ,금융투자 10D SELL,31850,10.98,4.99,-3.92,-0.31
2025-01-20,060280,큐렉소,KOSDAQ,개인 30D BUY,10050,11.17,9.34,2.49,-4.38
2025-01-20,060280,큐렉소,KOSDAQ,금융투자 10D SELL,10050,11.17,9.34,2.49,-4.38
2025-01-20,080220,제주반도체,KOSDAQ,개인 30D BUY,12700,28.8,11.66,31.57,33.54
2025-01-20,098460,고영,KOSDAQ,금융투자 10D SELL,12220,26.63,9.02,48.28,54.66
2025-01-20,098460,고영,KOSDAQ,개인 30D BUY,12220,26.63,9.02,48.28,54.66
2025-01-20,080220,제주반도체,KOSDAQ,금융투자 10D SELL,12700,28.8,11.66,31.57,33.54
2025-01-21,098460,고영,KOSDAQ,개인 30D BUY,14580,9.13,14.06,24.07,31.76
2025-01-21,098460,고영,KOSDAQ,금융투자 10D SELL,14580,9.13,14.06,24.07,31.76
2025-01-22,025980,아난티,KOSDAQ,개인 30D BUY,6180,6.0,3.79,-3.88,-2.43
2025-01-22,025980,아난티,KOSDAQ,금융투자 10D SELL,6180,6.0,3.79,-3.88,-2.43
2025-01-22,083650,비에이치아이,KOSDAQ,개인 30D BUY,20900,10.41,5.0,-2.63,-1.2
2025-01-22,095610,테스,KOSDAQ,금융투자 10D SELL,19200,6.25,3.78,11.72,15.62
2025-01-22,082920,비츠로셀,KOSDAQ,금융투자 10D SELL,14711,5.81,3.29,-9.1,-6.52
2025-01-23,328130,루닛,KOSDAQ,금융투자 10D SELL,70400,5.07,3.14,0.85,-9.8
2025-01-23,358570,지아이이노베이션,KOSDAQ,연기금 30D SELL,9117,8.33,3.01,46.09,68.82
2025-01-23,218410,RFHIC,KOSDAQ,금융투자 10D SELL,16090,8.64,5.05,8.76,3.73
2025-01-24,222800,심텍,KOSDAQ,개인 30D BUY,13030,5.93,5.87,8.98,52.42
2025-01-31,226950,올릭스,KOSDAQ,금융투자 10D SELL,16300,14.39,3.61,158.28,260.74
2025-01-31,226950,올릭스,KOSDAQ,개인 30D BUY,16300,14.39,3.61,158.28,260.74
2025-01-31,226950,올릭스,KOSDAQ,연기금 30D SELL,16300,14.39,3.61,158.28,260.74
2025-02-03,042000,카페24,KOSDAQ,금융투자 10D SELL,46850,16.25,5.48,25.72,33.4
2025-02-04,042000,카페24,KOSDAQ,금융투자 10D SELL,54200,14.95,5.0,3.32,13.28
2025-02-05,466100,클로봇,KOSDAQ,금융투자 10D SELL,14580,27.78,3.93,22.84,21.67
2025-02-05,030530,원익홀딩스,KOSDAQ,개인 30D BUY,2835,7.39,4.39,27.16,54.67
2025-02-05,030530,원익홀딩스,KOSDAQ,금융투자 10D SELL,2835,7.39,4.39,27.16,54.67
2025-02-05,067160,SOOP,KOSDAQ,연기금 30D SELL,115600,25.24,10.04,-8.22,-27.34
2025-02-05,067160,SOOP,KOSDAQ,개인 30D BUY,115600,25.24,10.04,-8.22,-27.34
2025-02-05,095610,테스,KOSDAQ,금융투자 10D SELL,20150,18.53,4.65,15.14,4.22
2025-02-05,039200,오스코텍,KOSDAQ,금융투자 10D SELL,30250,9.8,3.28,-13.22,-3.14
2025-02-05,039200,오스코텍,KOSDAQ,개인 30D BUY,30250,9.8,3.28,-13.22,-3.14
2025-02-06,067160,SOOP,KOSDAQ,개인 30D BUY,127900,11.61,6.88,-14.78,-34.56
2025-02-06,067160,SOOP,KOSDAQ,금융투자 10D SELL,127900,11.61,6.88,-14.78,-34.56
2025-02-06,095610,테스,KOSDAQ,금융투자 10D SELL,22350,13.68,6.14,-0.45,-6.49
2025-02-06,067160,SOOP,KOSDAQ,연기금 30D SELL,127900,11.61,6.88,-14.78,-34.56
2025-02-06,466100,클로봇,KOSDAQ,금융투자 10D SELL,16470,6.53,3.76,-0.12,11.23
2025-02-07,131970,두산테스나,KOSDAQ,개인 30D BUY,32000,9.22,3.21,4.06,-9.53
2025-02-07,102710,이엔에프테크놀로지,KOSDAQ,개인 30D BUY,23750,10.47,3.09,4.63,-4.42
2025-02-07,080220,제주반도체,KOSDAQ,개인 30D BUY,16710,16.93,4.58,1.5,-11.37
2025-02-07,005290,동진쎄미켐,KOSDAQ,금융투자 10D SELL,24100,8.31,3.51,17.63,15.15
2025-02-07,222800,심텍,KOSDAQ,개인 30D BUY,14410,23.9,7.67,32.76,29.63
2025-02-07,064760,티씨케이,KOSDAQ,개인 30D BUY,85700,5.15,3.72,0.12,-2.92
2025-02-07,036540,SFA반도체,KOSDAQ,금융투자 10D SELL,3650,11.11,10.77,-1.92,-13.97
2025-02-07,131970,두산테스나,KOSDAQ,연기금 30D SELL,32000,9.22,3.21,4.06,-9.53
2025-02-07,222800,심텍,KOSDAQ,금융투자 10D SELL,14410,23.9,7.67,32.76,29.63
2025-02-07,131970,두산테스나,KOSDAQ,금융투자 10D SELL,32000,9.22,3.21,4.06,-9.53
2025-02-07,036540,SFA반도체,KOSDAQ,개인 30D BUY,3650,11.11,10.77,-1.92,-13.97
2025-02-07,102710,이엔에프테크놀로지,KOSDAQ,금융투자 10D SELL,23750,10.47,3.09,4.63,-4.42
2025-02-07,399720,가온칩스,KOSDAQ,개인 30D BUY,51500,14.83,3.94,2.14,-10.97
2025-02-07,005290,동진쎄미켐,KOSDAQ,개인 30D BUY,24100,8.31,3.51,17.63,15.15
2025-02-07,080220,제주반도체,KOSDAQ,금융투자 10D SELL,16710,16.93,4.58,1.5,-11.37
2025-02-10,056080,유진로봇,KOSDAQ,개인 30D BUY,9710,8.13,9.17,-7.42,-18.13
2025-02-10,090710,휴림로봇,KOSDAQ,연기금 30D SELL,2515,23.59,7.73,4.57,-13.32
2025-02-10,232140,와이씨,KOSDAQ,금융투자 10D SELL,12380,14.31,3.67,-1.86,-19.06
2025-02-10,131970,두산테스나,KOSDAQ,연기금 30D SELL,37900,18.44,5.17,-12.66,-25.86
2025-02-10,131970,두산테스나,KOSDAQ,금융투자 10D SELL,37900,18.44,5.17,-12.66,-25.86
2025-02-10,281740,레이크머티리얼즈,KOSDAQ,금융투자 10D SELL,14000,24.89,8.78,41.5,5.5
2025-02-10,056080,유진로봇,KOSDAQ,연기금 30D SELL,9710,8.13,9.17,-7.42,-18.13
2025-02-10,232140,와이씨,KOSDAQ,개인 30D BUY,12380,14.31,3.67,-1.86,-19.06
2025-02-10,090710,휴림로봇,KOSDAQ,금융투자 10D SELL,2515,23.59,7.73,4.57,-13.32
2025-02-10,131970,두산테스나,KOSDAQ,개인 30D BUY,37900,18.44,5.17,-12.66,-25.86
2025-02-10,005290,동진쎄미켐,KOSDAQ,개인 30D BUY,25750,8.65,3.12,8.16,9.13
2025-02-10,005290,동진쎄미켐,KOSDAQ,금융투자 10D SELL,25750,8.65,3.12,8.16,9.13
2025-02-11,082270,젬백스,KOSDAQ,금융투자 10D SELL,23850,7.92,3.26,50.73,74.42
2025-02-11,281740,레이크머티리얼즈,KOSDAQ,금융투자 10D SELL,14540,5.52,3.35,31.91,1.51
2025-02-11,082270,젬백스,KOSDAQ,연기금 30D SELL,23850,7.92,3.26,50.73,74.42
2025-02-11,263750,펄어비스,KOSDAQ,금융투자 10D SELL,32500,6.56,6.45,2.0,-4.31
2025-02-11,388720,유일로보틱스,KOSDAQ,개인 30D BUY,47850,10.13,6.18,25.6,38.77
2025-02-11,036810,에프에스티,KOSDAQ,금융투자 10D SELL,19813,6.22,3.27,13.62,7.11
2025-02-11,240810,원익IPS,KOSDAQ,금융투자 10D SELL,25950,7.9,6.42,7.13,0.19
2025-02-11,036810,에프에스티,KOSDAQ,개인 30D BUY,19813,6.22,3.27,13.62,7.11
2025-02-11,048410,현대바이오,KOSDAQ,금융투자 10D SELL,7190,16.34,4.94,-14.39,-18.57
2025-02-11,048410,현대바이오,KOSDAQ,개인 30D BUY,7190,16.34,4.94,-14.39,-18.57
2025-02-11,240810,원익IPS,KOSDAQ,개인 30D BUY,25950,7.9,6.42,7.13,0.19
2025-02-11,090710,휴림로봇,KOSDAQ,연기금 30D SELL,2525,6.32,4.55,0.59,-13.66
2025-02-11,388720,유일로보틱스,KOSDAQ,금융투자 10D SELL,47850,10.13,6.18,25.6,38.77
2025-02-12,226950,올릭스,KOSDAQ,연기금 30D SELL,45100,7.38,10.16,23.28,0.44
2025-02-12,226950,올릭스,KOSDAQ,개인 30D BUY,45100,7.38,10.16,23.28,0.44
2025-02-12,099320,쎄트렉아이,KOSDAQ,금융투자 10D SELL,51300,5.66,3.51,4.48,7.02
2025-02-12,214430,아이쓰리시스템,KOSDAQ,연기금 30D SELL,60400,22.02,10.79,-2.65,-1.49
2025-02-12,214430,아이쓰리시스템,KOSDAQ,금융투자 10D SELL,60400,22.02,10.79,-2.65,-1.49
2025-02-14,090710,휴림로봇,KOSDAQ,연기금 30D SELL,2430,13.02,3.04,-10.29,-10.08
2025-02-14,222800,심텍,KOSDAQ,개인 30D BUY,15450,5.46,3.68,30.74,37.86
2025-02-14,036930,주성엔지니어링,KOSDAQ,연기금 30D SELL,33850,6.28,4.13,-1.77,11.96
2025-02-14,222800,심텍,KOSDAQ,금융투자 10D SELL,15450,5.46,3.68,30.74,37.86
2025-02-14,295310,에이치브이엠,KOSDAQ,금융투자 10D SELL,32750,20.63,6.4,-21.83,-28.24
2025-02-14,028300,HLB,KOSDAQ,금융투자 10D SELL,81300,9.13,3.4,9.84,-7.01
2025-02-14,440110,파두,KOSDAQ,금융투자 10D SELL,15350,7.79,4.05,-3.78,-8.66
2025-02-14,036930,주성엔지니어링,KOSDAQ,금융투자 10D SELL,33850,6.28,4.13,-1.77,11.96
2025-02-14,145020,휴젤,KOSDAQ,금융투자 10D SELL,288000,8.68,4.37,10.07,14.24
2025-02-17,226950,올릭스,KOSDAQ,연기금 30D SELL,48150,10.69,3.46,18.8,-4.26
2025-02-17,082270,젬백스,KOSDAQ,금융투자 10D SELL,28000,10.89,4.15,34.11,36.79
2025-02-17,082270,젬백스,KOSDAQ,연기금 30D SELL,28000,10.89,4.15,34.11,36.79
2025-02-17,060370,LS마린솔루션,KOSDAQ,연기금 30D SELL,16000,11.98,4.88,-9.49,-9.06
2025-02-17,226950,올릭스,KOSDAQ,개인 30D BUY,48150,10.69,3.46,18.8,-4.26
2025-02-17,137400,피엔티,KOSDAQ,개인 30D BUY,46650,12.14,5.65,-5.68,-6.75
2025-02-17,060370,LS마린솔루션,KOSDAQ,개인 30D BUY,16000,11.98,4.88,-9.49,-9.06
2025-02-17,214150,클래시스,KOSDAQ,금융투자 10D SELL,56800,8.4,3.33,0.7,6.34
2025-02-18,298380,에이비엘바이오,KOSDAQ,금융투자 10D SELL,46900,20.26,4.54,-10.45,-13.54
2025-02-18,388720,유일로보틱스,KOSDAQ,금융투자 10D SELL,65000,20.37,4.4,-7.23,-3.08
2025-02-18,090710,휴림로봇,KOSDAQ,연기금 30D SELL,2785,12.3,3.43,-21.9,-25.85
2025-02-18,032820,우리기술,KOSDAQ,금융투자 10D SELL,2300,8.49,5.13,-9.13,-15.0
2025-02-18,056080,유진로봇,KOSDAQ,연기금 30D SELL,9660,7.93,4.67,-15.73,-16.25
2025-02-18,298380,에이비엘바이오,KOSDAQ,개인 30D BUY,46900,20.26,4.54,-10.45,-13.54
2025-02-19,009520,포스코엠텍,KOSDAQ,금융투자 10D SELL,14060,15.72,15.89,-2.92,4.41
2025-02-19,319660,피에스케이,KOSDAQ,금융투자 10D SELL,21450,10.68,4.29,-20.23,-0.47
2025-02-19,319660,피에스케이,KOSDAQ,개인 30D BUY,21450,10.68,4.29,-20.23,-0.47
2025-02-19,036930,주성엔지니어링,KOSDAQ,연기금 30D SELL,38900,12.43,7.01,-17.99,3.6
2025-02-19,036930,주성엔지니어링,KOSDAQ,금융투자 10D SELL,38900,12.43,7.01,-17.99,3.6
2025-02-19,115180,큐리언트,KOSDAQ,연기금 30D SELL,5880,13.95,4.2,3.74,27.55
2025-02-19,009520,포스코엠텍,KOSDAQ,개인 30D BUY,14060,15.72,15.89,-2.92,4.41
2025-02-20,036830,솔브레인홀딩스,KOSDAQ,개인 30D BUY,37800,5.88,4.31,-17.2,-13.76
2025-02-20,348370,엔켐,KOSDAQ,금융투자 10D SELL,127000,12.59,4.06,-28.5,-32.91
2025-02-20,036830,솔브레인홀딩스,KOSDAQ,연기금 30D SELL,37800,5.88,4.31,-17.2,-13.76
2025-02-20,348370,엔켐,KOSDAQ,개인 30D BUY,127000,12.59,4.06,-28.5,-32.91
2025-02-20,036830,솔브레인홀딩스,KOSDAQ,금융투자 10D SELL,37800,5.88,4.31,-17.2,-13.76
2025-02-21,085660,차바이오텍,KOSDAQ,금융투자 10D SELL,11207,5.48,6.64,2.14,-5.03
2025-02-21,222080,씨아이에스,KOSDAQ,개인 30D BUY,8400,5.53,3.18,-9.05,-6.31
2025-02-24,257720,실리콘투,KOSDAQ,금융투자 10D SELL,35950,6.36,3.87,-32.13,-24.76
2025-02-25,005290,동진쎄미켐,KOSDAQ,금융투자 10D SELL,29400,6.91,10.7,-0.51,6.63
2025-02-25,437730,삼현,KOSDAQ,연기금 30D SELL,14500,22.88,3.8,-7.59,-27.03
2025-02-25,437730,삼현,KOSDAQ,개인 30D BUY,14500,22.88,3.8,-7.59,-27.03
2025-02-25,048410,현대바이오,KOSDAQ,금융투자 10D SELL,6155,7.06,3.16,-4.87,-4.39
2025-02-25,048410,현대바이오,KOSDAQ,개인 30D BUY,6155,7.06,3.16,-4.87,-4.39
2025-02-25,437730,삼현,KOSDAQ,금융투자 10D SELL,14500,22.88,3.8,-7.59,-27.03
2025-02-25,048410,현대바이오,KOSDAQ,연기금 30D SELL,6155,7.06,3.16,-4.87,-4.39
2025-02-25,323280,태성,KOSDAQ,금융투자 10D SELL,36600,12.96,6.13,-15.44,-23.22
2025-02-25,005290,동진쎄미켐,KOSDAQ,개인 30D BUY,29400,6.91,10.7,-0.51,6.63
2025-02-26,042000,카페24,KOSDAQ,금융투자 10D SELL,68500,10.31,3.87,-20.58,-23.5
2025-02-26,042000,카페24,KOSDAQ,연기금 30D SELL,68500,10.31,3.87,-20.58,-23.5
2025-02-26,068760,셀트리온제약,KOSDAQ,개인 30D BUY,55208,7.65,6.08,-7.99,-8.35
2025-02-26,068760,셀트리온제약,KOSDAQ,금융투자 10D SELL,55208,7.65,6.08,-7.99,-8.35
2025-02-26,068760,셀트리온제약,KOSDAQ,연기금 30D SELL,55208,7.65,6.08,-7.99,-8.35
