Year,Badge,Signals,Avg_Return,Median_Return,Win_Rate,Std,Max_Return,Min_Return
2021,기본,16,29.90835791403017,0.38450914526493296,50.0,61.78724523036186,198.83747475634385,-22.02939843294697
2021,🔥ATR,12,31.509361015691017,0.38450914526493296,50.0,65.3801050870327,198.83747475634385,-22.02939843294697
2021,⚡ZVOL,16,29.90835791403017,0.38450914526493296,50.0,61.78724523036186,198.83747475634385,-22.02939843294697
2021,🔥⚡둘다,12,31.509361015691017,0.38450914526493296,50.0,65.3801050870327,198.83747475634385,-22.02939843294697
2022,기본,15,-5.850788789709952,-3.841507610533945,40.0,10.478821417282784,6.654991243432584,-29.45953261752233
2022,🔥ATR,8,-11.2523069902023,-8.900395074894561,25.0,11.336828935939236,4.731861198738163,-29.45953261752233
2022,⚡ZVOL,15,-5.850788789709952,-3.841507610533945,40.0,10.478821417282784,6.654991243432584,-29.45953261752233
2022,🔥⚡둘다,8,-11.2523069902023,-8.900395074894561,25.0,11.336828935939236,4.731861198738163,-29.45953261752233
2023,기본,36,-1.2630694262121211,-1.724301160994568,47.22222222222222,14.581502537806175,33.39317773788151,-36.578449905482046
2023,🔥ATR,28,-1.6399411426240746,0.22883470328022293,50.0,16.216924848639955,33.39317773788151,-36.578449905482046
2023,⚡ZVOL,36,-1.2630694262121211,-1.724301160994568,47.22222222222222,14.581502537806175,33.39317773788151,-36.578449905482046
2023,🔥⚡둘다,28,-1.6399411426240746,0.22883470328022293,50.0,16.216924848639955,33.39317773788151,-36.578449905482046
2024,기본,19,-4.84947657751362,-9.92248062015504,31.57894736842105,18.112321275125257,40.81346423562413,-28.64864864864865
2024,🔥ATR,15,-9.877479910791383,-11.54192966636609,20.0,14.113566358824889,19.509043927648584,-28.64864864864865
2024,⚡ZVOL,19,-4.84947657751362,-9.92248062015504,31.57894736842105,18.112321275125257,40.81346423562413,-28.64864864864865
2024,🔥⚡둘다,15,-9.877479910791383,-11.54192966636609,20.0,14.113566358824889,19.509043927648584,-28.64864864864865
2025,기본,29,19.991160358876684,5.555485924848968,51.724137931034484,57.507819861611324,260.7361963190184,-35.86956521739131
2025,🔥ATR,19,31.400840378348498,11.122876328777533,63.1578947368421,66.00418624071621,260.7361963190184,-35.86956521739131
2025,⚡ZVOL,27,22.177654696634317,5.555485924848968,51.85185185185185,59.18963738266055,260.7361963190184,-35.86956521739131
2025,🔥⚡둘다,17,36.106791887418915,18.467843229089056,64.70588235294117,68.44157550049289,260.7361963190184,-35.86956521739131
