Score_Type,Threshold,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe,MDD,Profit_Factor,Params
power,15,OOS,1,4636,89.2,4.16,1.11,51.9,16.63,0.25,-100.0,2.17,"{'a': 1.0, 'b': 1.5}"
power,20,IS,4,9907,47.6,1.53,-0.38,48.1,14.85,0.103,-100.0,1.37,"{'a': 1.0, 'b': 1.5}"
power,20,OOS,1,3728,71.7,4.25,1.0,51.3,17.12,0.248,-100.0,2.16,"{'a': 1.0, 'b': 1.5}"
power,30,IS,4,6665,32.0,1.7,-0.42,48.2,15.93,0.106,-100.0,1.39,"{'a': 1.0, 'b': 1.5}"
power,30,OOS,1,2658,51.1,4.64,1.12,51.4,17.91,0.259,-100.0,2.23,"{'a': 1.0, 'b': 1.5}"
power,40,IS,4,5076,24.4,1.78,-0.6,47.6,16.77,0.106,-100.0,1.39,"{'a': 1.0, 'b': 1.5}"
power,40,OOS,1,2069,39.8,4.78,1.09,51.3,18.55,0.258,-100.0,2.22,"{'a': 1.0, 'b': 1.5}"
power,50,IS,4,4121,19.8,1.94,-0.6,47.7,17.31,0.112,-100.0,1.41,"{'a': 1.0, 'b': 1.5}"
power,50,OOS,1,1668,32.1,5.14,1.11,51.6,19.15,0.268,-99.96,2.29,"{'a': 1.0, 'b': 1.5}"
power,70,IS,4,2989,14.4,2.03,-0.7,47.2,17.67,0.115,-100.0,1.41,"{'a': 1.0, 'b': 1.5}"
power,70,OOS,1,1215,23.4,5.76,1.35,52.5,19.98,0.288,-99.87,2.44,"{'a': 1.0, 'b': 1.5}"
