Code,Name,Market,Marcap
457190,이수스페셜티케미컬,KOSPI,3032911312000
103590,일진전기,KOSPI,3018485187000
014680,한솔케미칼,KOSPI,3015161870000
071970,HD현대마린엔진,KOSPI,2998660158000
088350,한화생명,KOSPI,2957344650000
012750,에스원,KOSPI,2868937939000
004170,신세계,KOSPI,2835683214000
008930,한미사이언스,KOSPI,2834829747500
489790,한화비전,KOSPI,2766763772000
001720,신영증권,KOSPI,2758632000000
439260,대한조선,KOSPI,2758483939200
009420,한올바이오파마,KOSPI,2758305686400
012510,더존비즈온,KOSPI,2679761548800
009970,영원무역홀딩스,KOSPI,2674198849700
383220,F&F,KOSPI,2631696052500
005850,에스엘,KOSPI,2624341380000
051600,한전KPS,KOSPI,2610000000000
026960,동서,KOSPI,2592200000000
353200,대덕전자,KOSPI,2564738407500
001430,세아베스틸지주,KOSPI,2553382872800
004800,효성,KOSPI,2541193782600
028670,팬오션,KOSPI,2523168096640
004370,농심,KOSPI,2484759257000
000240,한국앤컴퍼니,KOSPI,2454075954000
001450,현대해상,KOSPI,2445090000000
030000,제일기획,KOSPI,2438873970000
139480,이마트,KOSPI,2417393744400
081660,미스토홀딩스,KOSPI,2415678720000
011210,현대위아,KOSPI,2393167304000
139130,iM금융지주,KOSPI,2390093795040
023590,다우기술,KOSPI,2324090760600
002790,아모레퍼시픽홀딩스,KOSPI,2312233038000
000120,CJ대한통운,KOSPI,2288078103200
097230,HJ중공업,KOSPI,2284472203200
336260,두산퓨얼셀,KOSPI,2269357605900
192820,코스맥스,KOSPI,2223368813100
010060,OCI홀딩스,KOSPI,2206821422400
361610,SK아이이테크놀로지,KOSPI,2195983635000
003690,코리안리,KOSPI,2187840178130
023530,롯데쇼핑,KOSPI,2178234135000
018670,SK가스,KOSPI,2144896608000
020150,롯데에너지머티리얼즈,KOSPI,2136510890400
462870,시프트업,KOSPI,2128507984000
047040,대우건설,KOSPI,2090581869140
282330,BGF리테일,KOSPI,2037772517400
069960,현대백화점,KOSPI,1993598425300
006280,녹십자,KOSPI,1968012999200
483650,달바글로벌,KOSPI,1964237402500
000155,두산우,KOSPI,1956268149000
069620,대웅제약,KOSPI,1955813860000
00680K,미래에셋증권2우B,KOSPI,1895730545340
006040,동원산업,KOSPI,1827726620400
032350,롯데관광개발,KOSPI,1797592338400
008770,호텔신라,KOSPI,1764203038950
017960,한국카본,KOSPI,1749314832400
