Strategy,Signals,Avg_Return_10D,Avg_Return_20D,Win_Rate_10D,Win_Rate_20D,Median_Return_20D,Std_Return_20D,Max_Gain_20D,Max_Loss_20D,Period,Track,Combo_Size,Description
개인_BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,232.2259136212625,-46.889952153110045,IS,A,1.0,
개인_SELL,2872,1.2737065816414617,2.127065651943606,46.58774373259053,44.60306406685237,-1.7972354047092576,22.070116082935193,313.9499620924944,-58.09954751131221,IS,A,1.0,
외국인_BUY,2763,1.3301721060258123,2.3535373035177636,46.579804560260584,44.878754976474845,-1.7766497461928932,22.52140007959516,313.9499620924944,-58.09954751131221,IS,A,1.0,
외국인_SELL,1116,2.2149957128859126,3.251996935718497,47.31182795698925,46.68458781362007,-1.4333393201167555,24.081560088497138,232.2259136212625,-46.889952153110045,IS,A,1.0,
금융투자_BUY,2225,1.0591051237784177,2.1433695926279626,46.29213483146067,44.539325842696634,-1.929824561403504,22.217802731832037,313.9499620924944,-46.889952153110045,IS,A,1.0,
금융투자_SELL,1654,2.2918330375592615,3.242475699083558,47.460701330108826,46.553808948004836,-1.3229456306944387,23.963029433735972,232.2259136212625,-58.09954751131221,IS,A,1.0,
연기금_BUY,2301,1.3591242676610773,1.9266064720257277,46.9361147327249,45.588874402433724,-1.6853932584269704,19.86676557829225,201.72413793103448,-45.03538928210313,IS,A,1.0,
연기금_SELL,1578,1.9137235770860959,3.61148964369469,46.57794676806083,45.12040557667934,-1.8130801621714654,26.85994583775409,313.9499620924944,-58.09954751131221,IS,A,1.0,
개인_BUY & 외국인_BUY,97,1.6901130256379795,6.054852545313187,45.36082474226804,49.48453608247423,-1.0489510489510523,26.85402242108987,111.98538105987316,-45.03538928210313,IS,A,2.0,
개인_BUY & 외국인_SELL,910,2.555136789636084,3.77560318747693,47.58241758241758,47.47252747252747,-1.1080824451975169,25.204461187122668,232.2259136212625,-46.889952153110045,IS,A,2.0,
개인_SELL & 외국인_BUY,2666,1.3170759810436745,2.2188682943451616,46.62415603900975,44.711177794448616,-1.792657975640849,22.342356300767435,313.9499620924944,-58.09954751131221,IS,A,2.0,
개인_SELL & 외국인_SELL,206,0.7124307621934066,0.9389790274652267,46.116504854368934,43.203883495145625,-2.1363375770095283,18.186721551909006,95.07079181961196,-35.604606525911706,IS,A,2.0,
개인_BUY & 금융투자_BUY,399,1.4826740849980855,3.239508337679271,46.11528822055138,46.365914786967416,-2.181208053691275,23.484672661464565,140.49513704686115,-46.889952153110045,IS,A,2.0,
개인_BUY & 금융투자_SELL,608,3.1209350035221783,4.4910456756009145,48.19078947368421,48.51973684210527,-0.5248735438029561,26.530707404658195,232.2259136212625,-45.03538928210313,IS,A,2.0,
개인_SELL & 금융투자_BUY,1826,0.9665508984078552,1.9038518712284709,46.33077765607886,44.14019715224535,-1.8372568431067493,21.930672386197298,313.9499620924944,-42.34034876728804,IS,A,2.0,
개인_SELL & 금융투자_SELL,1046,1.8099076118370305,2.5167294794635273,47.03632887189293,45.41108986615679,-1.7711016746458363,22.31664027667596,168.67567567567568,-58.09954751131221,IS,A,2.0,
개인_BUY & 연기금_BUY,421,1.8342640392953191,2.9111029563202138,46.318289786223275,47.74346793349169,-1.1050537792839266,21.820286791578745,145.05828687278256,-45.03538928210313,IS,A,2.0,
개인_BUY & 연기금_SELL,586,2.9298468967788245,4.773968008342279,48.122866894197955,47.610921501706486,-1.0629370629370638,27.621303043094095,232.2259136212625,-46.889952153110045,IS,A,2.0,
개인_SELL & 연기금_BUY,1880,1.2527232868855367,1.7061420997448884,47.07446808510639,45.1063829787234,-1.752169636599754,19.401795853292132,201.72413793103448,-42.48520710059172,IS,A,2.0,
개인_SELL & 연기금_SELL,992,1.3134733096063187,2.9247836742556927,45.66532258064516,43.649193548387096,-1.9687856656567804,26.389914332424304,313.9499620924944,-58.09954751131221,IS,A,2.0,
외국인_BUY & 금융투자_BUY,1683,1.0497732709709073,2.154643494513413,46.464646464646464,44.32560903149139,-1.8610421836228297,22.50413441048373,313.9499620924944,-42.34034876728804,IS,A,2.0,
외국인_BUY & 금융투자_SELL,1080,1.7671269573197061,2.6634801558828753,46.75925925925926,45.74074074074074,-1.7328910375395354,22.55521063484815,168.67567567567568,-58.09954751131221,IS,A,2.0,
외국인_SELL & 금융투자_BUY,542,1.0880820763153924,2.1083622552235104,45.75645756457565,45.20295202952029,-2.2041790595941246,21.324379055831,140.49513704686115,-46.889952153110045,IS,A,2.0,
외국인_SELL & 금융투자_SELL,574,3.279084895849713,4.331874978973345,48.78048780487805,48.08362369337979,-0.7477051460361595,26.395627471534837,232.2259136212625,-43.93024815560027,IS,A,2.0,
외국인_BUY & 연기금_BUY,1719,1.2348909291281005,1.7350653550390978,47.062245491564866,45.43339150668994,-1.6949152542372836,19.5407493475281,201.72413793103448,-45.03538928210313,IS,A,2.0,
외국인_BUY & 연기금_SELL,1044,1.487057492124631,3.371883356616255,45.785440613026815,43.96551724137931,-1.9687856656567804,26.6934723981475,313.9499620924944,-58.09954751131221,IS,A,2.0,
외국인_SELL & 연기금_BUY,582,1.7260608809569307,2.4923438948779917,46.56357388316151,46.04810996563574,-1.5274626024971591,20.806926557514277,145.05828687278256,-38.36477987421384,IS,A,2.0,
외국인_SELL & 연기금_SELL,534,2.747879743190533,4.0799333959603965,48.12734082397004,47.37827715355805,-1.0866873065015437,27.201538520280522,232.2259136212625,-46.889952153110045,IS,A,2.0,
금융투자_BUY & 연기금_BUY,1427,0.835307359031662,1.7936747013478742,46.32095304835319,44.77925718290119,-1.7766497461928932,19.44167532696226,201.72413793103448,-42.34034876728804,IS,A,2.0,
금융투자_BUY & 연기금_SELL,798,1.4593048860511253,2.7687011839270688,46.2406015037594,44.11027568922306,-2.101229434562768,26.468194764974392,313.9499620924944,-46.889952153110045,IS,A,2.0,
금융투자_SELL & 연기금_BUY,874,2.214372240903841,2.143647246347579,47.94050343249428,46.910755148741416,-1.4437409007926447,20.551368639455664,145.05828687278256,-45.03538928210313,IS,A,2.0,
금융투자_SELL & 연기금_SELL,780,2.3786288532987965,4.47372706791849,46.92307692307692,46.15384615384615,-1.2028819271259594,27.24490560245665,232.2259136212625,-58.09954751131221,IS,A,2.0,
개인_BUY & 외국인_BUY & 금융투자_BUY,17,6.894061895318901,16.45222051448488,47.05882352941176,47.05882352941176,-2.079002079002079,39.559579053313904,111.98538105987316,-17.529880478087644,IS,A,3.0,
개인_BUY & 외국인_BUY & 금융투자_SELL,80,0.5842738908307844,3.8454118518642004,45.0,50.0,-0.15817515817516115,23.04690141850983,74.42748091603053,-45.03538928210313,IS,A,3.0,
개인_BUY & 외국인_SELL & 금융투자_BUY,382,1.2418531615021327,2.65150805755965,46.07329842931937,46.33507853403142,-2.3299222365345207,22.411661128686607,140.49513704686115,-46.889952153110045,IS,A,3.0,
개인_BUY & 외국인_SELL & 금융투자_SELL,528,3.5052775963542078,4.588868982227688,48.67424242424242,48.29545454545455,-0.5248735438029561,27.03761511742873,232.2259136212625,-43.93024815560027,IS,A,3.0,
개인_SELL & 외국인_BUY & 금융투자_BUY,1666,0.9901376727632747,2.00874985145248,46.45858343337335,44.29771908763505,-1.8372568431067493,22.236450944763643,313.9499620924944,-42.34034876728804,IS,A,3.0,
개인_SELL & 외국인_BUY & 금융투자_SELL,1000,1.8617552026388202,2.568925620204369,46.9,45.4,-1.7630422683386326,22.524494070540342,168.67567567567568,-58.09954751131221,IS,A,3.0,
개인_SELL & 외국인_SELL & 금융투자_BUY,160,0.7209536104320506,0.8116016521459768,45.0,42.5,-1.9473061700096106,18.472666481058713,95.07079181961196,-35.604606525911706,IS,A,3.0,
개인_SELL & 외국인_SELL & 금융투자_SELL,46,0.6827860726676883,1.3820307677060966,50.0,45.65217391304348,-2.6716940479396714,17.34388211243503,43.13432835820896,-27.80373831775701,IS,A,3.0,
개인_BUY & 외국인_BUY & 연기금_BUY,23,-1.1258795791800351,1.9274994237606182,56.52173913043478,56.52173913043478,2.183406113537112,23.71467535919813,49.05213270142179,-45.03538928210313,IS,A,3.0,
