Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2024-10-17,21100,21500,20550,21150,34706921,034020,두산에너빌리티,KOSPI,6.321040278005473,2.9838422032050613,-3.309692671394799,-2.3640661938534278,-1.4184397163120568,-5.200945626477541
2022-09-08,39850,45850,39550,42100,2362582,402340,SK스퀘어,KOSPI,5.3958941468513855,6.674675462293715,3.0878859857482186,1.187648456057007,-3.0878859857482186,-12.114014251781473
2023-09-14,41850,42850,39500,41400,2720512,402340,SK스퀘어,KOSPI,6.3861311823633224,6.689635728307187,2.0531400966183577,3.3816425120772946,1.6908212560386473,0.0
2024-02-02,54500,59900,54000,59500,2480164,402340,SK스퀘어,KOSPI,7.3827082805588935,6.122474775840111,-0.33613445378151263,11.260504201680673,10.420168067226891,15.46218487394958
2024-02-01,140100,148800,137100,148700,2463952,028260,삼성물산,KOSPI,5.066237097318574,5.106642334988141,0.0,-0.8069939475453934,5.245460659045057,14.593140551445863
2024-01-02,187209,221708,187209,212969,6505933,068270,셀트리온,KOSPI,5.709787119988296,6.642886463877831,0.0,-7.343322267560068,-11.01521817729341,-19.00652207598289
2024-12-18,177734,183898,177734,183255,7361225,068270,셀트리온,KOSPI,7.279817710470889,7.342464199646808,-3.4138222695151565,-2.6607732394750485,-3.8656516875392213,
2022-09-26,19900,23098,18834,22166,16659868,042660,한화오션,KOSPI,10.590947109624354,7.464077260883116,-18.239646305152036,-23.04881349815032,-21.645763782369396,-24.248849589461337
2023-11-24,23300,24100,22600,22650,9829657,042660,한화오션,KOSPI,7.906787864338274,6.582658682690757,3.090507726269316,18.322295805739515,19.867549668874172,13.686534216335541
2024-11-07,28150,33950,27800,33850,13838216,042660,한화오션,KOSPI,9.480166428513002,7.030470588364866,6.942392909896602,8.714918759231907,15.805022156573118,5.908419497784342
2024-11-08,35850,38750,34250,36200,16575920,042660,한화오션,KOSPI,7.3546710040030705,5.6528735197448965,3.0386740331491713,-6.629834254143646,8.011049723756907,5.386740331491713
2022-10-04,192000,192000,175500,176500,3753785,035420,NAVER,KOSPI,5.384369001585568,6.853763915878358,-7.0821529745042495,-9.34844192634561,-8.21529745042493,-4.53257790368272
2022-10-05,170500,176000,164000,164000,6634375,035420,NAVER,KOSPI,6.56772214344118,6.5614434352118085,1.8292682926829267,-3.353658536585366,-3.353658536585366,2.7439024390243905
2024-06-14,220500,253500,220000,238000,1763305,012330,현대모비스,KOSPI,6.2922548354198025,7.155559079392286,-1.2605042016806722,1.680672268907563,-0.21008403361344538,5.6722689075630255
2024-01-25,39700,39900,39450,39650,6962512,055550,신한지주,KOSPI,6.244122575614289,6.869307832778456,0.37831021437578816,0.7566204287515763,7.187894073139975,11.349306431273645
2024-03-27,47950,48350,46900,47000,23699462,055550,신한지주,KOSPI,5.813776441140335,5.944811852106986,0.425531914893617,-3.0851063829787235,-7.446808510638298,-8.297872340425531
2024-09-13,660000,690000,655000,666000,586718,010130,고려아연,KOSPI,9.544956880633947,7.409057658370829,6.156156156156156,8.558558558558559,5.7057057057057055,16.516516516516518
2024-09-19,679000,720000,667000,707000,518279,010130,고려아연,KOSPI,6.047335179227968,4.883300667659696,3.9603960396039604,-1.1315417256011315,0.8486562942008486,10.325318246110324
2024-01-11,64600,65300,62500,62800,3143615,032830,삼성생명,KOSPI,8.07573469863532,7.236008567381774,0.6369426751592357,-0.6369426751592357,-4.2993630573248405,1.5923566878980893
2024-03-07,361262,408256,360283,403361,1809774,006400,삼성SDI,KOSPI,5.003234538904039,6.350433098821749,3.3981966526263077,11.52912651446223,8.252409132266134,10.558284018534266
2024-02-15,56800,61400,56700,59200,10199107,035720,카카오,KOSPI,5.055213339140068,6.030628425936174,-1.3513513513513513,-0.8445945945945946,-2.195945945945946,-9.966216216216216
2024-12-04,42200,47100,41600,46600,13795722,035720,카카오,KOSPI,5.510381622786566,6.584062172975083,-5.36480686695279,-9.2274678111588,-4.291845493562231,-6.866952789699571
2023-01-31,5290,5870,5270,5790,45725875,010140,삼성중공업,KOSPI,8.45263747882456,7.376264069697496,1.381692573402418,0.8635578583765112,-2.763385146804836,0.0
2023-07-12,7550,8500,7540,8170,49684273,010140,삼성중공업,KOSPI,5.29092832279793,6.367109689770026,1.7135862913096693,3.6719706242350063,4.773561811505508,2.4479804161566707
2024-03-14,7960,9210,7950,9010,59570843,010140,삼성중공업,KOSPI,7.468316098518621,7.263174038938193,-1.7758046614872365,-3.551609322974473,-1.7758046614872365,-4.328523862375139
2024-11-07,9970,10980,9970,10830,24408089,010140,삼성중공업,KOSPI,5.731438606038812,6.274852427176498,1.662049861495845,6.9252077562326875,8.21791320406279,9.04893813481071
2022-06-08,22300,22600,20800,21050,7461549,064350,현대로템,KOSPI,9.155136677078369,7.334574169688709,8.551068883610451,5.225653206650831,-3.800475059382423,-8.551068883610451
2022-06-09,21250,23300,21200,22850,16607375,064350,현대로템,KOSPI,10.257410915499111,6.934222632187148,-0.2188183807439825,-2.1881838074398248,-13.129102844638949,-19.474835886214443
2022-07-22,20800,24550,20800,24400,31111778,064350,현대로템,KOSPI,10.857615535518837,6.467283116464994,2.663934426229508,2.459016393442623,8.811475409836065,1.0245901639344261
2022-11-17,27800,29500,26700,28050,25930518,064350,현대로템,KOSPI,7.782952235418526,3.8041721406173408,-2.4955436720142603,2.8520499108734403,6.951871657754011,14.08199643493761
2023-01-30,29200,30650,26650,27000,17330042,064350,현대로템,KOSPI,5.8072457496459196,3.086009153048444,2.2222222222222223,4.62962962962963,-1.1111111111111112,-1.4814814814814816
2023-04-20,28600,33150,28500,31700,30787700,064350,현대로템,KOSPI,9.878582541145413,6.437042019629574,4.73186119873817,14.826498422712934,9.621451104100947,7.886435331230284
2023-04-21,32050,34000,31150,33200,23819442,064350,현대로템,KOSPI,5.57382725869431,4.079265337882301,5.873493975903615,3.614457831325301,-0.9036144578313252,1.5060240963855422
2024-02-22,30900,34500,30350,34500,16080506,064350,현대로템,KOSPI,7.937404870135704,7.076336928338866,-4.9275362318840585,-4.782608695652174,-3.0434782608695654,-8.115942028985506
2024-03-29,34350,38800,34100,36800,13299739,064350,현대로템,KOSPI,5.628760551382197,4.263835666499974,3.260869565217391,3.260869565217391,1.358695652173913,5.978260869565218
2024-06-17,40350,43000,38850,42600,12857855,064350,현대로템,KOSPI,7.259927475566918,3.541943811276271,-5.633802816901409,-5.751173708920188,-7.394366197183098,-5.868544600938967
2022-10-31,50200,58100,49550,57400,362728,298040,효성중공업,KOSPI,5.241533380585859,5.680622271040825,3.8327526132404177,8.885017421602788,10.278745644599303,20.73170731707317
2024-05-17,332500,408500,320000,370500,1892302,298040,효성중공업,KOSPI,7.1900835238857335,7.292373028865373,13.225371120107962,9.176788124156547,12.415654520917679,19.298245614035086
2022-05-18,15250,15250,14800,14900,25912180,316140,우리금융지주,KOSPI,6.736274701668708,7.143766720958992,-4.697986577181208,-1.6778523489932886,-0.6711409395973155,-2.013422818791946
2022-06-17,13650,13800,13500,13650,26978864,316140,우리금융지주,KOSPI,5.834970630943147,5.033946544604118,-1.8315018315018317,-6.227106227106227,-5.86080586080586,-12.087912087912088
2023-12-19,12910,12960,12890,12900,21327324,316140,우리금융지주,KOSPI,9.192055507327963,7.366694887306651,0.6976744186046512,0.7751937984496124,-0.07751937984496124,-3.1782945736434107
2024-07-26,14810,16230,14800,16180,14562584,316140,우리금융지주,KOSPI,6.4958921887508705,7.105136210484418,0.9270704573547589,-2.719406674907293,-6.489493201483312,-9.332509270704573
2024-02-01,182600,198300,180900,197000,984636,034730,SK,KOSPI,5.331609260286568,6.100846078174055,-0.10152284263959391,-2.284263959390863,-0.5076142131979695,5.32994923857868
2024-05-30,143300,167700,143200,158100,1335950,034730,SK,KOSPI,6.991347360510597,7.188559437667389,11.448450347881089,5.060088551549652,15.117014547754588,12.144212523719165
2024-05-31,164500,180900,157000,176200,3630128,034730,SK,KOSPI,9.89402860554444,7.1535808313633495,1.4755959137343928,-6.9239500567536885,7.037457434733257,0.39727582292849034
2024-06-03,176200,192900,176000,178800,2907456,034730,SK,KOSPI,5.735807754515155,4.483119299837472,-7.102908277404922,1.7897091722595078,1.45413870246085,-5.480984340044743
2022-07-28,114863,134734,113894,131342,4546571,003670,포스코퓨처엠,KOSPI,9.314607028162289,7.1805987034745975,-2.9525970367437684,-1.4762985183718842,0.0,18.45030530980189
2023-03-30,163925,191771,160481,184195,6199705,096770,SK이노베이션,KOSPI,5.702617524811935,6.799126151234715,-4.219984255815847,-3.2047558294199083,-5.875838106354679,2.403974049241293
2024-06-20,113100,126000,112700,121000,8538298,096770,SK이노베이션,KOSPI,9.311209386610319,7.45629937419796,-5.702479338842975,-11.570247933884298,-9.834710743801653,-5.371900826446281
2023-09-11,68700,75500,68700,70800,2044375,267250,HD현대,KOSPI,7.066002293955719,6.6860940264606645,-0.14124293785310735,-1.4124293785310735,0.9887005649717515,-6.3559322033898304
2023-01-27,22300,24250,22200,23300,12028994,011200,HMM,KOSPI,5.7954499985606525,5.4583225686165955,-5.150214592274678,-3.4334763948497855,-3.004291845493562,-5.793991416309012
2023-07-20,19230,21000,19000,20300,11834639,011200,HMM,KOSPI,6.909448204034552,6.427886033489298,-5.911330049261084,-19.704433497536947,-13.891625615763548,-11.428571428571429
2023-12-18,15800,17850,15800,17540,11002402,011200,HMM,KOSPI,5.768980185965473,6.653703182613892,5.074116305587229,11.345496009122007,10.490307867730902,16.875712656784494
2023-12-19,16680,19220,16550,18430,24244550,011200,HMM,KOSPI,7.866530804123463,6.84947470238452,19.913185024416713,9.603906673901248,5.914270211611504,11.502984264785676
2023-12-20,18440,23300,18000,22100,56598976,011200,HMM,KOSPI,9.637519850074257,6.914341701939237,-11.628959276018099,-12.307692307692308,-11.402714932126697,-6.334841628959276
2024-01-26,7210,7740,7160,7680,2857101,006800,미래에셋증권,KOSPI,5.02646276639025,4.092648606817542,0.26041666666666663,2.473958333333333,12.239583333333332,13.020833333333334
2022-11-23,45100,45150,35000,36400,4922520,138040,메리츠금융지주,KOSPI,10.288911890067004,7.572633884992596,-1.098901098901099,-2.197802197802198,3.708791208791209,3.708791208791209
2023-06-13,88834,97737,88734,92886,1244331,086280,현대글로비스,KOSPI,5.129610861328962,6.333153467019438,0.10765885063411063,3.770212949206554,2.154253601188554,3.6625540985724436
2024-06-14,89835,100539,89334,94537,1630526,086280,현대글로비스,KOSPI,7.635536216355943,7.274768618885198,0.5288934491257391,13.227625162634734,14.285412060886213,15.873150195161683
