volume_ratio_threshold,z_score_threshold,signal_count,avg_return_1d,win_rate_1d,median_return_1d,sharpe_1d,max_return_1d,max_loss_1d,avg_return_3d,win_rate_3d,median_return_3d,sharpe_3d,avg_return_5d,win_rate_5d,median_return_5d,sharpe_5d,avg_return_10d,win_rate_10d,median_return_10d,sharpe_10d
5.0,1.5,1718,0.22596188871129705,48.19557625145518,0.0,0.04020815206101117,29.98565279770445,-29.895366218236173,0.3675055428772469,47.69410391126678,-0.3174603174603174,0.04185864179155509,0.8572646776563403,47.096774193548384,-0.5110732538330494,0.07318008873995097,1.517970805230338,45.958702064896755,-1.019108280254777,0.08982506266995548
5.0,2.0,1687,0.2269399977857102,48.31061055127445,0.0,0.04015088786337078,29.98565279770445,-29.895366218236173,0.40138124868216185,47.85969084423306,-0.2854251012145749,0.04546961580396815,0.8856187550812801,47.132616487455195,-0.5383945342392691,0.07518495426902758,1.5568293359295002,46.306306306306304,-0.8992805755395683,0.09182285941548339
5.0,2.5,1642,0.1991487866369104,47.990255785627284,0.0,0.03528841765260482,29.98565279770445,-29.895366218236173,0.39471914782377104,47.64813683567502,-0.3264417845484222,0.04452732762289675,0.8576887600141737,46.93251533742331,-0.6564908785041574,0.07260216117700612,1.5450757624238751,46.02097470697101,-1.0443864229765014,0.09074129883366427
5.0,3.0,1590,0.21612448455558556,48.36477987421384,0.0,0.038057066906308064,29.98565279770445,-29.895366218236173,0.3635149445878341,47.69716088328076,-0.3236245954692557,0.040942132533593106,0.8712684390660511,47.14828897338403,-0.5462489343563512,0.07331720740618065,1.576047790167619,45.95283620140217,-1.0443864229765014,0.09166121978337666
5.5,1.5,1395,0.2892301759675155,49.31899641577061,0.0,0.0503033858565194,29.98565279770445,-29.895366218236173,0.5420059305613959,48.45434938892883,-0.1851851851851852,0.0610564627762561,1.034316446756449,47.584715212689254,-0.5110732538330494,0.08636812176987038,1.6320389614831219,46.09261939218524,-0.8838834639484443,0.10024915730841179
5.5,2.0,1375,0.2876657488863402,49.38181818181818,0.0,0.04979685167204677,29.98565279770445,-29.895366218236173,0.5659697815405006,48.50474106491612,-0.1734605377276669,0.06345946214387288,1.0437759253676318,47.549378200438916,-0.5278592375366569,0.08674604012156382,1.6881423973420466,46.328928046989724,-0.788313280973572,0.10336577860239912
5.5,2.5,1346,0.27913226791833806,49.25705794947994,0.0,0.04843435487658111,29.98565279770445,-29.895366218236173,0.5827590468209621,48.5096870342772,-0.1699249444045988,0.06528068979135047,1.0320317008974094,47.45889387144992,-0.5462489343563512,0.0857639508253724,1.7038407223389795,46.28657164291073,-0.7927519818799547,0.10420247576487109
5.5,3.0,1315,0.26618745297019336,49.20152091254753,0.0,0.04600198488414718,29.98565279770445,-29.895366218236173,0.5212924516775655,48.36003051106026,-0.1851851851851852,0.05855270629633774,1.018667381222237,47.589900535577655,-0.5278592375366569,0.08444067488855854,1.695509342697311,46.15975422427036,-0.8474060291374212,0.10319089235128741
6.0,1.5,1166,0.2812420282637083,49.313893653516296,0.0,0.04735061918071924,29.98565279770445,-29.895366218236173,0.5020667566719461,48.19277108433735,-0.1795684651503056,0.05473035290958261,1.045073287911822,47.454702329594475,-0.5244755244755245,0.0846811220354143,1.6617805964913583,45.62770562770563,-1.0084033613445378,0.09915299391064097
6.0,2.0,1149,0.27719961672520255,49.34725848563969,0.0,0.04645779328484593,29.98565279770445,-29.895366218236173,0.526872416159598,48.29694323144105,-0.1663893510815307,0.05717008929842799,1.0523189804159192,47.46059544658494,-0.5407371129499137,0.08486772450751764,1.7145590454420094,45.86994727592268,-0.9147565668395515,0.10199074913306873
6.0,2.5,1127,0.2926317373513548,49.245785270629995,0.0,0.04901081496233889,29.98565279770445,-29.895366218236173,0.5520107370740104,48.26357969723954,-0.1663893510815307,0.059767614295055664,1.0511831528484064,47.32142857142857,-0.6006988209391004,0.08457971899588136,1.6992168045574192,45.69892473118279,-0.9842016806722689,0.10099071179038008
6.0,3.0,1106,0.29810137455747376,49.45750452079566,0.0,0.0497293250042826,29.98565279770445,-29.895366218236173,0.5043051195431122,48.275862068965516,-0.1530270777754022,0.05470420370725125,1.0553934228373831,47.67970882620564,-0.5278592375366569,0.08476846706568987,1.7002651279427108,45.662100456621005,-0.96,0.10060599149586592
6.5,1.5,992,0.29618495784194815,48.79032258064516,0.0,0.04854745900271145,29.98565279770445,-29.895366218236173,0.5570229683163748,47.62386248736097,-0.2631578947368421,0.05869992066517009,1.0593544231618335,47.76876267748479,-0.5261673810060907,0.0832126068409343,1.7746047089821175,45.31568228105906,-1.0317473516156392,0.10325287707199325
6.5,2.0,979,0.3013118059104549,48.92747701736466,0.0,0.0491587360205175,29.98565279770445,-29.895366218236173,0.59507976506404,47.84836065573771,-0.21190677735370844,0.06247480234590913,1.0726485018950591,47.79033915724563,-0.5278592375366569,0.08393671689175512,1.8127204082430388,45.51083591331269,-1.0084033613445378,0.10522514751786094
6.5,2.5,967,0.32387664133015054,48.91416752843847,0.0,0.05298230021840847,29.98565279770445,-29.895366218236173,0.6254773792062519,48.02904564315353,-0.19045344202784995,0.06563940970627757,1.0831434722894715,47.65868886576482,-0.5490196078431373,0.08464876801887695,1.795043829228602,45.245559038662485,-1.094890510948905,0.10420097041510194
6.5,3.0,951,0.33314570017446743,49.21135646687697,0.0,0.05433034290685798,29.98565279770445,-29.895366218236173,0.5739926710475641,48.10126582278481,-0.1806171872865332,0.060431864558383654,1.083813103083322,48.042328042328045,-0.4640371229698375,0.08465970151787333,1.8131696441075358,45.270988310308184,-1.0443864229765014,0.10482652219553706
